method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae
TF_LGBM,1,2017,"56,10,5,37,25,41,8",7,4.864850997922037,3.2802340484202688,33.598100900650024,5.550179865380314,3.8731923093462393
TF_LGBM,1,2018,"56,10,5,37,25,41,8",7,5.265513222172275,3.724568341137086,33.64247465133667,5.912600926647103,4.193457677082796
TF_LGBM,2,2017,"28,8,14,12,9,31,32",7,3.7221091180358883,2.3081299925926255,41.78424096107483,4.064920676115832,2.608759723413453
TF_LGBM,2,2018,"28,8,14,12,9,31,32",7,4.7394453719408505,3.1631529160899774,41.43694567680359,4.9878878749948985,3.382700037413842
TF_LGBM,3,2017,"4,50,47,29,26,39,40",7,3.3839433160566204,2.124559393783425,41.07301878929138,3.904807227987035,2.5746495774458653
TF_LGBM,3,2018,"4,50,47,29,26,39,40",7,3.7082135682263426,2.3509839232538794,41.05242609977722,4.263798144305196,2.852746761317124
TF_LGBM,4,2017,"29,23,3,24,27,15,40",7,3.08111133040532,1.8683913166632853,38.906657218933105,3.457310605787247,2.1950097329842566
TF_LGBM,4,2018,"29,23,3,24,27,15,40",7,3.5936091676823034,2.24844528564664,38.89992880821228,3.9503152316239505,2.5675879844317806
TF_LGBM,5,2017,"10,25,11,8,1,33,41",7,3.287794981787266,2.0240749591663256,44.72707271575928,4.457761542654538,2.9539931928344947
TF_LGBM,5,2018,"10,25,11,8,1,33,41",7,3.830287708873946,2.4762964257697457,44.69821548461914,4.833707812602244,3.2784734319144566
TF_LGBM,6,2017,"43,13,9,49,40,28,53",7,2.7852510198191447,1.6838135825947735,44.31120586395264,3.5374982488128888,2.285936109890179
TF_LGBM,6,2018,"43,13,9,49,40,28,53",7,3.122072536646827,2.0184129988053963,44.32216930389404,3.9011766184663257,2.6065465223612874
TF_LGBM,7,2017,"53,31,13,32,9,52,22",7,3.4104195022365507,2.0509010429204406,57.91001915931702,3.9008714460580167,2.4491997171066004
TF_LGBM,7,2018,"53,31,13,32,9,52,22",7,3.7873215214297624,2.3344450941890504,58.19740581512451,4.312268738189112,2.752585966876956
TF_LGBM,8,2017,"11,5,25,10,2,33,36",7,2.905158251875084,1.9337953101610397,43.609363079071045,3.7202156150322154,2.559099853647051
TF_LGBM,8,2018,"11,5,25,10,2,33,36",7,3.181531041602574,1.999791915789705,43.54307508468628,3.9704055427609966,2.645620773395687
TF_LGBM,9,2017,"13,32,31,12,28,6,7",7,3.474723810165378,2.2429707275345994,43.07896685600281,3.868032240573477,2.500954282325911
TF_LGBM,9,2018,"13,32,31,12,28,6,7",7,4.2374660073191865,2.8793447689478158,43.10297441482544,4.602341755641622,3.101670986102605
TF_LGBM,10,2017,"5,25,1,11,41,8,33",7,4.144303283517017,2.620702656764206,43.810312032699585,5.124090078830614,3.3801221243905553
TF_LGBM,10,2018,"5,25,1,11,41,8,33",7,4.006297100926534,2.5664586060266914,43.7361798286438,4.887486708924871,3.302772875964197
TF_LGBM,11,2017,"12,8,33,36,5,10,25",7,4.322249979688559,2.8225059295361663,36.71909689903259,4.77484774211581,3.159403886930202
TF_LGBM,11,2018,"12,8,33,36,5,10,25",7,4.113531005272548,2.686158543617215,36.69315457344055,4.6622525628613385,3.13230770685114
TF_LGBM,12,2017,"28,9,32,11,42,31,53",7,3.148297059750009,2.030224771818294,56.92009902000427,3.6094936876950396,2.4032573110400652
TF_LGBM,12,2018,"28,9,32,11,42,31,53",7,4.0971661463652,2.5003052655898146,56.94736862182617,4.507834528719451,2.856384518386807
TF_LGBM,13,2017,"9,26,7,6,32,31,53",7,3.0871697222479475,1.9187085374525794,45.08802032470703,3.5592686351597047,2.27055707520848
TF_LGBM,13,2018,"9,26,7,6,32,31,53",7,3.6603259637685177,2.4300189321827625,45.36593055725098,4.1116035384838,2.7578183412156583
TF_LGBM,14,2017,"28,9,2,16,12,13,40",7,2.9015919808434396,1.8938268583313462,45.56953263282776,3.4343635685579956,2.3074317302166594
TF_LGBM,14,2018,"28,9,2,16,12,13,40",7,3.2361766565267978,2.2142703546395706,45.81401586532593,3.7636846047515697,2.61453193491947
TF_LGBM,15,2017,"27,29,4,48,24,16,40",7,2.4497216886124495,1.5538103796445426,38.40220618247986,2.9766553606424475,1.9575921008662616
TF_LGBM,15,2018,"27,29,4,48,24,16,40",7,2.376677567865509,1.5432553621534975,38.55204486846924,3.0039434180613678,2.020530633618397
TF_LGBM,16,2017,"48,40,24,23,15,14,43",7,2.1031327437456038,1.4600135148989142,39.35968780517578,2.9859013791766107,2.102732153659248
TF_LGBM,16,2018,"48,40,24,23,15,14,43",7,2.2432245263513666,1.4606567472269913,39.13094353675842,3.1446365472078317,2.17695689099853
TF_LGBM,17,2017,"19,20,21,18,15,27,48",7,5.354926719968581,3.946433861010861,42.328731298446655,5.525553136166779,4.050032242246209
TF_LGBM,17,2018,"19,20,21,18,15,27,48",7,4.820576903118155,3.384692532063411,42.33226466178894,5.061766004721629,3.57177712314991
TF_LGBM,18,2017,"20,21,15,19,27,38,4",7,2.2668131939114957,1.4440183751654632,36.24556064605713,2.876413157901339,1.9106052266269635
TF_LGBM,18,2018,"20,21,15,19,27,38,4",7,2.177495873189216,1.4630801346216933,36.326337814331055,2.88624096642448,1.9915596148271617
TF_LGBM,19,2017,"17,20,18,21,15,27,38",7,2.2858332076416197,1.4729390098401374,39.53210663795471,3.0493887533138926,2.0489728611412477
TF_LGBM,19,2018,"17,20,18,21,15,27,38",7,2.5439043525837346,1.6863307044662463,39.52171325683594,3.3320118848889035,2.278775409955198
TF_LGBM,20,2017,"18,21,19,15,27,38,48",7,2.7557329072071943,1.774575294696044,38.14592003822327,3.2097842404557926,2.1272992398236497
TF_LGBM,20,2018,"18,21,19,15,27,38,48",7,2.313179417543723,1.523475172858574,38.002079486846924,2.945247023990405,2.000040306370782
TF_LGBM,21,2017,"18,20,15,27,19,38,29",7,2.812526878487162,1.891823574444305,43.46452474594116,3.1570240552225415,2.1264822740499154
TF_LGBM,21,2018,"18,20,15,27,19,38,29",7,3.260228553268739,2.3454560720018214,43.48366022109985,3.6276651743683144,2.5775130682736047
TF_LGBM,22,2017,"45,52,53,46,43,51,13",7,3.8543278419398708,2.5683681022858464,43.26066207885742,4.448439202510774,2.9697521713841804
TF_LGBM,22,2018,"45,52,53,46,43,51,13",7,3.2096553129650345,2.2417281178659954,43.332698345184326,3.905572438318443,2.749011672290382
TF_LGBM,23,2017,"24,4,16,29,40,26,48",7,3.192572084656034,2.046204905415841,38.25632166862488,3.625264206691216,2.386763761851808
TF_LGBM,23,2018,"24,4,16,29,40,26,48",7,3.2589329410075707,2.0519410377699825,38.25411629676819,3.7673045934541762,2.4640395568099054
TF_LGBM,24,2017,"23,4,16,29,15,40,27",7,2.7364031236776394,1.6335854195025592,44.533477783203125,3.1746538102887527,1.9962972074232042
TF_LGBM,24,2018,"23,4,16,29,15,40,27",7,2.7489165067464802,1.6982351648999865,44.56854224205017,3.2756837147386277,2.1151401913802554
TF_LGBM,25,2017,"10,5,33,11,8,1,41",7,5.0679724059148015,3.2196362550956454,47.91477370262146,5.645049283201806,3.763821979930207
TF_LGBM,25,2018,"10,5,33,11,8,1,41",7,3.16622797130375,1.9999703280254228,47.87004017829895,4.08936162670025,2.774217890516302
TF_LGBM,26,2017,"13,43,49,6,9,40,53",7,3.542221839889061,2.2639997743505016,43.907413482666016,4.202169549835024,2.8024658705071777
TF_LGBM,26,2018,"13,43,49,6,9,40,53",7,4.292587364102492,2.8274051205091064,43.89066410064697,4.844868664422465,3.2922508442801823
TF_LGBM,27,2017,"15,29,4,50,39,24,3",7,2.8069097811762966,1.7594773968420243,33.911134004592896,3.308896791165112,2.1848696149463995
TF_LGBM,27,2018,"15,29,4,50,39,24,3",7,2.8394686446404247,1.7216041317149715,33.79897379875183,3.434500323615129,2.2475539120574517
TF_LGBM,28,2017,"12,9,14,6,32,2,31",7,2.6340053827095953,1.7657139709657996,42.902085304260254,3.1006227338698715,2.118543540217105
TF_LGBM,28,2018,"12,9,14,6,32,2,31",7,3.2723921712665613,1.8803719337410452,42.801366567611694,3.723494587013689,2.2815749151164413
TF_LGBM,29,2017,"4,27,23,15,24,3,26",7,2.5074287646456592,1.5885187936960823,33.22894597053528,2.9399501923057896,1.9134325398046204
TF_LGBM,29,2018,"4,27,23,15,24,3,26",7,2.828198759557869,1.7409811004250022,33.19555354118347,3.290878315838109,2.1069847680171425
