method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_SVR,1,2018,"2,52,3,4,53,5,54",7,4.17687126622112,402.506,354.001,48.505
G_SVR,2,2018,"1,3,4,52,5,6,53",7,5.19362455446942,402.492,353.673,48.8190000000001
G_SVR,3,2018,"4,2,5,1,6,8,7",7,3.75181200444209,364.7,324.343,40.357
G_SVR,4,2018,"3,5,6,2,8,7,1",7,3.68703942748712,375.374,333.736,41.6379999999999
G_SVR,5,2018,"4,6,8,3,7,2,9",7,3.43816907133572,364.648,323.644,41.0039999999999
G_SVR,6,2018,"8,7,5,4,3,9,10",7,3.38978612014784,369.992,327.965,42.0269999999996
G_SVR,7,2018,"8,6,5,9,10,4,3",7,3.38720001772752,366.662,326.203,40.4589999999998
G_SVR,8,2018,"6,7,5,4,9,10,3",7,2.98034114789663,362.386,318.976999999999,43.4090000000001
G_SVR,9,2018,"10,11,7,8,12,6,13",7,3.85717620188208,340.922,303.011,37.9110000000001
G_SVR,10,2018,"9,11,7,12,8,6,13",7,4.01967479477872,308.958,275.928,33.0300000000002
G_SVR,11,2018,"12,10,9,13,23,7,8",7,3.96272561008165,337.655,299.05,38.605
G_SVR,12,2018,"13,11,23,10,9,24,26",7,4.45263975675197,347.256,306.381,40.875
G_SVR,13,2018,"12,23,11,24,26,10,9",7,3.20297700330973,349.901999999998,308.094999999998,41.8069999999998
G_SVR,14,2018,"25,24,26,27,23,28,15",7,3.19748317103021,321.712,283.462999999999,38.2490000000007
G_SVR,15,2018,"16,30,29,17,28,14,27",7,2.43099360094705,297.879000000002,266.415000000002,31.4639999999999
G_SVR,16,2018,"15,17,30,29,18,32,33",7,2.54452183976293,318.074,282.127999999999,35.9460000000008
G_SVR,17,2018,"18,16,19,15,33,30,20",7,4.56932005225228,283.943,253.507000000001,30.4359999999997
G_SVR,18,2018,"19,17,20,33,16,21,15",7,2.51808218607248,280.368999999999,250.364999999998,30.0040000000008
G_SVR,19,2018,"18,20,17,21,33,22,16",7,2.72853956764308,312.41,277.77,34.6400000000003
G_SVR,20,2018,"19,21,18,22,17,33,16",7,2.19171181604129,318.962,282.417,36.5450000000001
G_SVR,21,2018,"22,20,19,18,33,17,50",7,4.07958427779347,322.444,286.168,36.276
G_SVR,22,2018,"21,20,19,18,33,17,51",7,2.90387772827665,278.592,246.394,32.198
G_SVR,23,2018,"24,26,13,25,12,14,27",7,3.30193295416546,314.082,278.398,35.684
G_SVR,24,2018,"26,23,25,14,27,13,12",7,2.78467997501849,318.023,281.044,36.979
