method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
TF_thinnedSV,49,2018,"43,40,47,6,26,22,45",7,4.875719512,3.426259151,1454.965,5.06460965,3.526988313,15
TF_thinnedSV,50,2017,"47,3,40,43,48,49,27",7,3.097426059,1.879077621,1367.004,3.629424598,2.313071078,15.42857143
TF_thinnedSV,50,2018,"47,3,40,43,48,49,27",7,2.719100376,1.719581192,1370.408,3.406179773,2.261439692,15.42857143
TF_thinnedSV,51,2017,"46,36,34,52,42,22,53",7,2.627900144,1.675413038,1442.641,2.907874114,1.884673253,15.28571429
TF_thinnedSV,51,2018,"46,36,34,52,42,22,53",7,,,,,,
TF_thinnedSV,52,2017,"53,22,51,7,34,32,31",7,3.785460771,2.240455826,1459.716,3.960086889,2.39022229,15.42857143
TF_thinnedSV,52,2018,"53,22,51,7,34,32,31",7,3.203871827,2.001898354,1450.035,3.451117825,2.184492308,15.42857143
TF_thinnedSV,53,2017,"52,7,32,31,22,34,13",7,2.940955711,1.760592988,1546.749,3.306302498,2.035427913,15.14285714
TF_thinnedSV,53,2018,"52,7,32,31,22,34,13",7,,,,,,
TF_thinnedSV,54,2017,"60,55,57,58,56,37,1",7,4.044607987,2.882168205,1585.044,4.466325856,3.187615704,15.57142857
TF_thinnedSV,54,2018,"60,55,57,58,56,37,1",7,3.740816194,2.476635767,1581.74,4.317512686,2.924115188,15.57142857
TF_thinnedSV,55,2017,"37,54,1,44,56,41,10",7,3.145194106,1.862808413,1668.221,4.210134757,2.844670738,15.14285714
TF_thinnedSV,55,2018,"37,54,1,44,56,41,10",7,3.825525985,2.552549872,1669.702,4.67190128,3.297623171,15.14285714
TF_thinnedSV,56,2017,"1,37,10,25,5,54,8",7,3.445654802,2.152664106,1655.594,4.610047959,3.184727861,15.28571429
TF_thinnedSV,56,2018,"1,37,10,25,5,54,8",7,3.02136052,1.903567419,1677.249,4.350126136,2.99719205,15.28571429
TF_thinnedSV,57,2017,"58,60,54,55,56,1,37",7,2.879762869,1.514318342,1782.544,3.99193468,2.593785939,15.42857143
TF_thinnedSV,57,2018,"58,60,54,55,56,1,37",7,2.975099161,1.936627231,1811.751,4.072547492,2.859828108,15.42857143
TF_thinnedSV,58,2017,"57,54,60,55,56,1,37",7,5.135700015,3.509873151,1710.419,5.38563908,3.720548458,15.28571429
TF_thinnedSV,58,2018,"57,54,60,55,56,1,37",7,4.225501511,2.844234191,1697.297,4.606327983,3.175572015,15.28571429
TF_thinnedSV,59,2017,"63,62,66,61,64,65,58",7,5.221918231,3.306917634,1756.41,5.668533886,3.678409157,16.28571429
TF_thinnedSV,59,2018,"63,62,66,61,64,65,58",7,3.653147195,2.197765216,1711.965,4.300610114,2.742648849,16.28571429
