method,year,avg_rmse,avg_mae,total_runtime_sec,mean_single_rmse,mean_single_mae,n_turbines
TF_thinnedSV,2017,3.2479,2.0654,103247.708,3.707139499,2.43840212,66
TF_thinnedSV,2018,3.4221,2.1524,96257.349,3.887859979,2.531759907,62
