metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
weighted_ks,1,2017,"56,10,5,37,25,41,8",7,4.50197341795904,3.00327337265076,343.055,5.04483008010208,3.49293600801403,15.7142857142857
weighted_ks,1,2018,"56,10,5,37,25,41,8",7,4.89382908346954,3.4523171949428,345.058,5.39626843804486,3.80690155211821,15.7142857142857
weighted_ks,2,2018,"28,8,14,12,9,31,32",7,4.5283767023721,3.04702359618519,343.006,4.68020559092076,3.16078052682867,15.8571428571429
weighted_ks,2,2017,"28,8,14,12,9,31,32",7,3.63520150153424,2.22041311912319,362.669,3.83966518099188,2.40341047124499,15.8571428571429
weighted_ks,3,2018,"4,50,47,29,26,39,40",7,3.39003637627162,2.08641389369307,322.413,3.73412297274325,2.43051187347681,15.1428571428571
weighted_ks,3,2017,"4,50,47,29,26,39,40",7,3.18079139378109,1.94675002951312,328.254,3.50669129797063,2.26062546516731,15.1428571428571
weighted_ks,4,2018,"29,23,3,24,27,15,40",7,3.36059361083818,2.10272801277415,337.676,3.54926177665309,2.27398610742886,15.7142857142857
weighted_ks,4,2017,"29,23,3,24,27,15,40",7,3.02926994553107,1.81820884245648,336.037,3.20440785836045,1.98022480917122,15.7142857142857
weighted_ks,5,2018,"10,25,11,8,1,33,41",7,3.44259349607227,2.10120774272365,341,4.29945871906433,2.80230938580188,15.7142857142857
weighted_ks,5,2017,"10,25,11,8,1,33,41",7,2.98693201491612,1.73804137930944,342.093,4.00770731019989,2.58661525486581,15.7142857142857
weighted_ks,6,2018,"43,13,9,49,40,28,53",7,3.00526493474383,1.913186163592,326.857,3.55272169258671,2.31710925426791,15.1428571428571
weighted_ks,6,2017,"43,13,9,49,40,28,53",7,2.65718346023981,1.52345982321087,325.372,3.19260594596002,1.98267612476266,15.1428571428571
weighted_ks,7,2017,"53,31,13,32,9,52,22",7,3.20387564089805,1.84133946413132,313.601,3.48010014235108,2.09043911787872,15.1428571428571
weighted_ks,7,2018,"53,31,13,32,9,52,22",7,3.47078044751811,2.01997316849131,326.604000000001,3.77839200510836,2.28630234633005,15.1428571428571
weighted_ks,8,2017,"11,5,25,10,2,33,36",7,2.50308944652226,1.57503851468936,372.405,3.15054147168986,2.11596801237301,16.2857142857143
weighted_ks,8,2018,"11,5,25,10,2,33,36",7,2.90974919514418,1.7076169788236,364.568999999999,3.52546172451333,2.24794490913124,16.2857142857143
weighted_ks,9,2017,"13,32,31,12,28,6,7",7,2.95163669049216,1.81876733567127,336.205000000001,3.12212900035606,1.95035570027627,15.7142857142857
weighted_ks,9,2018,"13,32,31,12,28,6,7",7,3.67113770331871,2.38121391137261,337.853999999999,3.81670648721544,2.48186940572054,15.7142857142857
weighted_ks,10,2017,"5,25,1,11,41,8,33",7,3.9357175672105,2.38987976179167,342.153,4.81832357855613,3.10470319299055,15.8571428571429
weighted_ks,10,2018,"5,25,1,11,41,8,33",7,3.59955412084607,2.29226747568053,335.801,4.43389387299484,2.9400212444913,15.8571428571429
weighted_ks,11,2017,"12,8,33,36,5,10,25",7,3.91401020836951,2.48715869147989,350.565,4.24567515855441,2.7420876230106,16.1428571428571
weighted_ks,11,2018,"12,8,33,36,5,10,25",7,3.56065442248412,2.32027930159327,353.043,3.99768548649454,2.65232269328892,16.1428571428571
weighted_ks,12,2017,"28,9,32,11,42,31,53",7,2.97407610797039,1.83668848806121,344.669,3.28410871139275,2.09567487522351,15.8571428571429
weighted_ks,12,2018,"28,9,32,11,42,31,53",7,3.85916821561019,2.25584785474721,342.439,4.13061435029729,2.47483063385762,15.8571428571429
weighted_ks,13,2017,"9,26,7,6,32,31,53",7,2.64658417802015,1.5904400942075,318.214999999999,2.84928240089366,1.75539566211195,15
weighted_ks,13,2018,"9,26,7,6,32,31,53",7,3.06618383130261,1.98725795555911,332.167,3.28073580141521,2.12868405081945,15
weighted_ks,14,2017,"28,9,2,16,12,13,40",7,2.75600024754616,1.75796537391934,339.188999999999,3.01537395759013,1.98034501477182,16
weighted_ks,14,2018,"28,9,2,16,12,13,40",7,2.96680900642743,1.99010008689738,350.415,3.20197035155342,2.19065090961341,16
weighted_ks,15,2017,"27,29,4,48,24,16,40",7,2.37261938682951,1.45624699344919,327.515,2.64025792793492,1.67460831238032,16.1428571428571
weighted_ks,15,2018,"27,29,4,48,24,16,40",7,2.33262510177408,1.44860040437077,337.255999999999,2.63529224226,1.70811196354487,16.1428571428571
