metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
weighted_ks,38,2017,"27,15,29,4,3,21,18",7,2.98476672401249,1.97389153789458,301.787,3.15833297523559,2.09501291134982,16
weighted_ks,38,2018,"27,15,29,4,3,21,18",7,3.82915611898224,2.17815489698524,309.64,3.99077451364951,2.31287608556891,16
weighted_ks,39,2017,"3,27,4,50,15,29,23",7,3.08100121927957,2.24500229431776,303.773,3.23833811159397,2.36228861913563,16
weighted_ks,39,2018,"3,27,4,50,15,29,23",7,3.3406395511316,2.01092490254278,308.03,3.49410958173111,2.1680762586405,16
weighted_ks,40,2017,"49,16,6,50,26,23,47",7,3.33735275470272,2.2850816167488,299.79,3.85288679902505,2.62445481634063,15.8571428571429
weighted_ks,40,2018,"49,16,6,50,26,23,47",7,4.64190221194844,2.59930434810727,298.655,5.03860693338643,2.92889183286492,15.8571428571429
weighted_ks,41,2017,"33,10,35,25,5,36,11",7,5.18762832100517,3.92743107404879,320.379000000001,5.47056263862227,4.09185479802095,16
weighted_ks,41,2018,"33,10,35,25,5,36,11",7,5.08016644307264,3.70062992365564,323.053999999999,5.47251347063811,3.96784220686058,16
weighted_ks,42,2017,"36,12,51,46,32,34,9",7,2.85311187888426,1.93680794082513,323.244000000001,3.25074619250622,2.2486727409365,14.8571428571429
weighted_ks,42,2018,"36,12,51,46,32,34,9",7,3.92214515387467,2.4206163819006,317.006000000001,4.2155272938129,2.65864508761118,14.8571428571429
weighted_ks,43,2017,"49,6,26,45,22,47,50",7,3.01012735627479,2.04002941171645,321.115,3.30995610095816,2.25820454398359,15.4285714285714
weighted_ks,43,2018,"49,6,26,45,22,47,50",7,4.90201642009506,3.37422542169471,319.023999999999,5.12871363503703,3.52520985785519,15.4285714285714
weighted_ks,44,2017,"37,1,33,56,30,10,25",7,4.9818349243268,3.88445815905576,314.986999999999,5.32682487312783,4.16115810450908,15.7142857142857
weighted_ks,44,2018,"37,1,33,56,30,10,25",7,5.76778096804779,4.20180346869948,291.410000000001,6.18767705721107,4.55759912617429,15.7142857142857
