method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_random_forest,27,2017,"28,25,26,29,24,14,31",1,3.02772857600135,13.5129999999999,12.347,1.16599999999994
G_random_forest,27,2018,"28,25,26,29,24,14,31",1,3.01013466921798,14.1469999999999,13.0219999999999,1.125
G_random_forest,28,2017,"27,29,31,25,30,15,14",1,3.03037213176982,13.776,12.675,1.101
G_random_forest,28,2018,"27,29,31,25,30,15,14",1,3.74863254824608,13.4129999999999,12.3299999999999,1.08299999999997
G_random_forest,29,2017,"28,31,30,32,27,15,16",1,2.51015257501577,14.395,13.2089999999999,1.18600000000004
G_random_forest,29,2018,"28,31,30,32,27,15,16",1,2.83289966141971,14.245,13.216,1.029
G_random_forest,30,2017,"29,32,31,15,16,28,33",1,2.53075767689368,13.9400000000001,12.816,1.12400000000002
G_random_forest,30,2018,"29,32,31,15,16,28,33",1,2.78489989031202,14.497,13.433,1.06399999999996
G_random_forest,31,2017,"29,32,28,30,27,15,16",1,2.89635118898135,13.466,12.3190000000001,1.14699999999993
G_random_forest,31,2018,"29,32,28,30,27,15,16",1,3.29338765098039,14.095,13.028,1.06700000000001
G_random_forest,32,2017,"30,31,29,33,28,16,15",1,2.6684791968741,13.742,12.5599999999999,1.18200000000002
G_random_forest,32,2018,"30,31,29,33,28,16,15",1,3.33433029063059,14.312,13.242,1.07000000000005
G_random_forest,33,2017,"32,18,30,19,17,16,20",1,3.1162494751695,13.817,12.741,1.07600000000002
G_random_forest,33,2018,"32,18,30,19,17,16,20",1,3.11600206747981,13.857,12.816,1.04099999999994
G_random_forest,34,2017,"35,26,27,36,23,24,25",1,2.56190026925315,13.066,12.023,1.04300000000001
G_random_forest,34,2018,"35,26,27,36,23,24,25",1,4.60496881829473,13.1179999999999,12.1419999999999,0.975999999999999
G_random_forest,35,2017,"36,37,34,31,28,27,29",1,2.92388807582636,13.442,12.443,0.999000000000024
G_random_forest,35,2018,"36,37,34,31,28,27,29",1,4.09130361275011,12.7330000000001,11.9000000000001,0.83299999999997
G_random_forest,36,2017,"37,35,34,31,28,29,27",1,2.55376039703133,13.2309999999999,12.205,1.02599999999984
G_random_forest,36,2018,"37,35,34,31,28,29,27",1,3.52845300111222,12.855,11.8630000000001,0.991999999999962
G_random_forest,37,2017,"36,35,31,34,32,28,29",1,4.59436400145571,12.7439999999999,11.7190000000001,1.02499999999986
G_random_forest,37,2018,"36,35,31,34,32,28,29",1,3.88362431188939,13.2440000000001,12.2360000000001,1.00800000000004
G_random_forest,38,2017,"39,41,40,43,42,44,37",1,5.95730403864292,12.4099999999999,11.5029999999999,0.906999999999925
G_random_forest,38,2018,"39,41,40,43,42,44,37",1,6.90338906365629,11.9730000000002,11.0170000000001,0.956000000000131
G_random_forest,39,2017,"38,41,40,42,43,44,37",1,3.57877630307636,12.241,11.2560000000001,0.9849999999999
G_random_forest,39,2018,"38,41,40,42,43,44,37",1,6.22466379149473,12.3710000000001,11.4349999999999,0.936000000000149
G_random_forest,40,2017,"41,39,42,38,43,44,37",1,4.787096666917,12.211,11.2329999999999,0.978000000000065
G_random_forest,40,2018,"41,39,42,38,43,44,37",1,6.14803861565241,12.1869999999999,11.242,0.944999999999936
G_random_forest,41,2017,"40,42,39,43,44,38,37",1,4.70749010253782,12.3009999999999,11.2909999999999,1.00999999999999
G_random_forest,41,2018,"40,42,39,43,44,38,37",1,4.78180852934056,12.075,11.115,0.960000000000036
G_random_forest,42,2017,"43,41,44,40,39,38,33",1,3.09161071710643,12.6900000000001,11.6100000000001,1.07999999999993
G_random_forest,42,2018,"43,41,44,40,39,38,33",1,3.27093974733525,12.1980000000001,11.183,1.0150000000001
G_random_forest,43,2017,"44,42,41,39,40,38,33",1,3.23251242643811,12.306,11.2750000000001,1.03099999999995
G_random_forest,43,2018,"44,42,41,39,40,38,33",1,4.86875430373517,12.739,11.7380000000001,1.00099999999998
