metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
sinkhorn_wasserstein,1,2017,"10,28,25,26,3,32,12",7,3.36491593190606,2.00165106982294,339.106,3.83869188774969,2.41869437580659,15.5714285714286
sinkhorn_wasserstein,1,2018,"10,28,25,26,3,32,12",7,3.57331568375822,2.06811684181678,344.536,4.00038878553263,2.43754326202737,15.5714285714286
sinkhorn_wasserstein,2,2018,"8,5,31,33,12,23,13",7,4.55058089427294,3.05157004996836,357.626,4.70414821559668,3.17175914509205,16.1428571428571
sinkhorn_wasserstein,2,2017,"8,5,31,33,12,23,13",7,3.7260074322144,2.30726800638785,371.356,3.91368834607051,2.47315591844148,16.1428571428571
sinkhorn_wasserstein,3,2018,"4,32,28,10,25,24,15",7,3.5831411387621,2.23661396132922,343.791,3.92321300098691,2.53498846679937,16
sinkhorn_wasserstein,3,2017,"4,32,28,10,25,24,15",7,3.12659794038503,1.91484184575164,344.958,3.51744870198689,2.25764249034895,16
sinkhorn_wasserstein,4,2017,"6,3,23,27,31,29,13",7,3.02466838189076,1.83144020719909,335.778,3.21222373526912,2.00728338106373,15.7142857142857
sinkhorn_wasserstein,4,2018,"6,3,23,27,31,29,13",7,3.37065837941117,2.13048100312716,340.206,3.56908128491402,2.31191750711353,15.7142857142857
sinkhorn_wasserstein,5,2017,"12,33,8,31,22,32,2",7,2.93330386485363,1.66053788005353,356.857,3.21958067697229,1.91187572813141,16.2857142857143
sinkhorn_wasserstein,5,2018,"12,33,8,31,22,32,2",7,3.08886634097099,1.76965213650666,358.107,3.39756352887816,2.02082110425583,16.2857142857143
sinkhorn_wasserstein,6,2017,"8,4,53,31,33,23,45",7,2.82949558962395,1.60276729700823,342.642,3.08965936005869,1.87301971102186,15.8571428571429
sinkhorn_wasserstein,6,2018,"8,4,53,31,33,23,45",7,3.35627551458784,2.11463454182703,348.446,3.61170139061786,2.36678549055117,15.8571428571429
sinkhorn_wasserstein,7,2017,"6,33,4,23,8,31,43",7,2.91692051193558,1.59148369848641,325.683999999999,3.31575223577152,1.99310184073999,15.7142857142857
sinkhorn_wasserstein,7,2018,"6,33,4,23,8,31,43",7,3.18005277056762,1.75451371973023,345.227999999999,3.62954898941646,2.18925304641112,15.7142857142857
sinkhorn_wasserstein,8,2017,"33,12,6,5,9,2,31",7,2.26448064731448,1.38161866331743,370.628000000001,2.56887585068858,1.63813375539987,16.1428571428571
sinkhorn_wasserstein,8,2018,"33,12,6,5,9,2,31",7,2.77753161826635,1.58241963085022,366.351999999999,3.06704520081945,1.82819190317153,16.1428571428571
sinkhorn_wasserstein,9,2017,"13,29,31,24,27,8,2",7,2.65140429939281,1.52526765804659,350.314000000001,2.83348850222748,1.68527155643799,16.2857142857143
sinkhorn_wasserstein,9,2018,"13,29,31,24,27,8,2",7,3.30543518221395,2.04477275254457,356.759000000001,3.4610581636447,2.17787079627107,16.2857142857143
sinkhorn_wasserstein,10,2017,"26,1,28,25,8,32,2",7,3.77397831393276,2.22642395158774,335.413,4.19716260190489,2.57853102500881,15.5714285714286
sinkhorn_wasserstein,10,2018,"26,1,28,25,8,32,2",7,3.34742313082831,2.01798006269852,339.002,3.77183759818509,2.38662891022106,15.5714285714286
sinkhorn_wasserstein,11,2017,"8,26,33,23,5,2,10",7,3.46103635976005,2.0811070094895,353.434,3.70649445258029,2.28753724105087,16.2857142857143
sinkhorn_wasserstein,11,2018,"8,26,33,23,5,2,10",7,3.09614855234138,1.94639114092741,365.309,3.4376417866764,2.19434195359349,16.2857142857143
