method,target,year,rmse,nlpd,runtime_sec
P_twinGP,1,2017,4.05493903506744,5.5588127872684,125.611
P_twinGP,2,2017,4.59209976680737,3.09839039633712,123.972
P_twinGP,3,2017,3.95711249159898,4.02863941299475,122.243
P_twinGP,4,2017,4.25809346894997,7.68862822515744,125.627
P_twinGP,5,2017,3.59294205766128,4.60795422802712,125.614
P_twinGP,6,2017,3.18082351265357,3.28276003853993,125.515
P_twinGP,7,2017,4.04575601266867,5.42165673678258,126.055
P_twinGP,8,2017,3.47329772100946,3.68384963396642,125.931
P_twinGP,9,2017,4.16210299447313,5.66205172415761,121.63
P_twinGP,10,2017,4.08658529438978,3.21659098593646,124.633
P_twinGP,11,2017,4.79453035636599,6.50991596260626,124.547
P_twinGP,12,2017,3.98212274377833,3.28258427591519,125.215
P_twinGP,13,2017,3.55257842901835,4.03780154613002,126.55
P_twinGP,14,2017,4.09219277742524,5.62803446245136,128.504
P_twinGP,15,2017,3.42148031072953,2.62605569650965,125.487
P_twinGP,16,2017,2.93062975902901,3.55922606142824,126.169
P_twinGP,17,2017,6.6859165397282,7.01308472134708,128.209
P_twinGP,18,2017,2.85928652485476,2.66400539742004,127.905
P_twinGP,19,2017,3.0874668032945,3.70604301495091,125.295
P_twinGP,20,2017,3.62044547012088,2.78195453972673,125.151
P_twinGP,21,2017,2.52441491067721,2.63819776285692,126.553
P_twinGP,22,2017,4.02088551144871,5.21128173798758,124.905
P_twinGP,23,2017,4.31793661940569,4.3351498135247,126.779
P_twinGP,24,2017,3.62047734838759,4.3350895617677,129.198
P_twinGP,25,2017,5.0591150897951,3.47252396739533,125.007
P_twinGP,26,2017,3.54099069455557,3.56892362056403,129.659
P_twinGP,27,2017,3.67500419583807,4.10965491619002,125.946
P_twinGP,28,2017,2.92849227763006,3.07962196552651,125.168
P_twinGP,29,2017,3.14259435800975,2.95186307896982,123.696
P_twinGP,30,2017,3.17141642817591,3.03476494214866,126.915
P_twinGP,31,2017,3.00063623366004,2.46909955017596,123.633
P_twinGP,32,2017,2.97026597696107,2.66456311430082,126.146
P_twinGP,33,2017,4.44231897477872,4.66369228296141,121.954
P_twinGP,34,2017,3.37424138871679,3.46100439253109,127.416
P_twinGP,35,2017,3.24241174357303,3.73002837933943,125.803
P_twinGP,36,2017,3.01608065490593,2.46558165283391,125.991999999999
P_twinGP,37,2017,5.34955819968645,12.2115256611256,128.205
P_twinGP,38,2017,4.07153521045456,4.73145100819944,131.246
P_twinGP,39,2017,3.08088360816212,3.95590108992395,131.598
