method,target,year,rmse,runtime_sec,fit_time_sec,pred_time_sec
P_GNN_DFP,38,2017,4.216778202301017,670.2331099510193,611.0122406482697,59.220869302749634
P_GNN_DFP,38,2018,4.5247812422970055,672.208144903183,611.0122406482697,61.19590425491333
P_GNN_DFP,39,2017,4.224445540663857,670.4082334041595,611.0122406482697,59.39599275588989
P_GNN_DFP,39,2018,3.480721588280289,670.6608424186707,611.0122406482697,59.648601770401
P_GNN_DFP,40,2017,4.786264053599536,669.7079894542694,611.0122406482697,58.695748805999756
P_GNN_DFP,40,2018,5.5978847474681865,669.6059021949768,611.0122406482697,58.59366154670715
P_GNN_DFP,41,2017,8.914820981151644,673.2114036083221,611.0122406482697,62.19916296005249
P_GNN_DFP,41,2018,8.740597839714857,680.6880707740784,611.0122406482697,69.67583012580872
P_GNN_DFP,42,2017,5.958622059496902,701.4625036716461,611.0122406482697,90.45026302337646
P_GNN_DFP,42,2018,7.116684005656233,700.3600952625275,611.0122406482697,89.34785461425781
P_GNN_DFP,43,2017,5.926736624807076,697.151159286499,611.0122406482697,86.13891863822937
P_GNN_DFP,43,2018,8.116631941058365,695.9523780345917,611.0122406482697,84.94013738632202
P_GNN_DFP,44,2017,8.970103503044124,695.8181340694427,611.0122406482697,84.8058934211731
P_GNN_DFP,44,2018,9.782568117289737,687.3183591365814,611.0122406482697,76.30611848831177
