target,donor1,score1,donor2,score2,donor3,score3,donor4,score4,donor5,score5,donor6,score6,donor7,score7,donor8,score8,donor9,score9,donor10,score10,donor11,score11,donor12,score12,donor13,score13,donor14,score14,donor15,score15,donor16,score16,donor17,score17,donor18,score18,donor19,score19,donor20,score20,donor21,score21,donor22,score22,donor23,score23,donor24,score24,donor25,score25,donor26,score26,donor27,score27,donor28,score28,donor29,score29,donor30,score30,donor31,score31,donor32,score32,donor33,score33,donor34,score34,donor35,score35,donor36,score36,donor37,score37,donor38,score38,donor39,score39,donor40,score40,donor41,score41,donor42,score42,donor43,score43,donor44,score44,donor45,score45,donor46,score46,donor47,score47,donor48,score48,donor49,score49,donor50,score50,donor51,score51,donor52,score52,donor53,score53,donor54,score54,donor55,score55,donor56,score56,donor57,score57,donor58,score58,donor59,score59
38,47,0.0711116241185533,26,0.0805307976478674,51,0.0830383447174966,49,0.0866110930230267,52,0.0898863643707304,57,0.1008038871367699,3,0.1030364986700089,48,0.1144484899785078,34,0.1178071441858623,21,0.1178078702867844,1,0.1178463076893222,55,0.1181832901644266,35,0.124527176238544,50,0.1273419473726725,36,0.1280869477847652,45,0.1344097084017953,19,0.1363821313776572,64,0.1392946552384276,17,0.1416637346912509,24,0.1421792226761524,29,0.1425887916565456,37,0.1431674839766211,53,0.1435591045085512,46,0.1440992083918128,32,0.1446822667449543,15,0.1466592632737405,20,0.1474719622310376,28,0.149004465985278,23,0.1529266762331688,54,0.15332655895286,16,0.1547073137126414,11,0.1571919982312286,18,0.1579560561566777,27,0.1586442951083607,12,0.1620829960344094,10,0.1623297687798793,56,0.1654610690468371,22,0.165918711537454,2,0.1672720279017774,25,0.1687980554582195,58,0.1704079074551647,31,0.1707253762332161,9,0.1712917273245378,5,0.1722046804771984,14,0.1745171368257279,66,0.1757725344682721,13,0.1762342124889348,30,0.1795426549652663,65,0.1799306472425822,4,0.1839855472762469,6,0.1873152227031054,59,0.1900010928173328,60,0.1935538572532729,8,0.197673656459826,33,0.204234116396189,61,0.2138662575038112,7,0.2199096611444418,63,0.2349443635491248,62,0.2897384014835835
39,48,0.0584468705739916,53,0.0596824345453599,50,0.0692048582415095,45,0.0694403324513467,46,0.0740695860704322,49,0.0854790083557029,18,0.1105185016072865,8,0.110686448730116,6,0.1117316714640118,4,0.1126621498590965,47,0.1151191958381799,60,0.1176642948842211,23,0.1256930014977793,22,0.1286864553139805,28,0.1305522505938025,33,0.1330359709663802,34,0.1334277112269374,58,0.1383458601867877,15,0.1395542404495953,52,0.1402377798062595,56,0.1461237546871507,7,0.1471035901154188,36,0.148274302668414,16,0.1506284694172199,29,0.1511367099623334,12,0.1546016492623632,32,0.1551926420788821,25,0.1561219165088728,51,0.156241540132888,21,0.1566737445235261,20,0.1568367807150063,31,0.1580348939680395,35,0.1587670152219145,55,0.1607377794635122,27,0.1620293128862498,26,0.1635091221171548,24,0.163818855052542,19,0.1669969600455559,63,0.1671726923904214,14,0.1698589047694654,3,0.1727537704112874,17,0.1732579251847111,30,0.1737272545270302,37,0.1738946692524754,5,0.1794429998979236,54,0.1804161850580331,57,0.1823119735743956,2,0.1852700483802382,9,0.1858268988123763,13,0.1861688619733996,65,0.191078189201548,1,0.2009274955912664,59,0.2036168927520991,66,0.2060600118520012,10,0.211904542249368,11,0.2137291136519195,62,0.2229452137484688,61,0.2263238158228682,64,0.2267602471781943
40,49,0.082405525437064,9,0.0830502350906194,13,0.0896115314510529,16,0.0898911361516804,14,0.0936601654167069,29,0.0951941779081085,27,0.0964015832472474,30,0.0965698052065646,24,0.0969720747027341,35,0.0970612248228463,36,0.0983691351895005,59,0.1014945350404436,20,0.1024209113326966,15,0.1024858840113811,31,0.1053487185730875,37,0.1081166316832661,34,0.1087707318791529,32,0.1091602883906813,50,0.110293015294591,47,0.1118085730248422,51,0.1127849615585072,48,0.1182215464661993,25,0.1190061273309005,17,0.1227695791245742,52,0.1256142304792096,12,0.1275194294466333,45,0.1276204881131817,22,0.1280163151681315,28,0.1281146017753443,54,0.1316821966711625,5,0.1352659276909219,21,0.1380933799021336,46,0.1394031223724161,53,0.1394238156738459,61,0.1399166459722297,23,0.1400617242183998,55,0.1426011734375004,58,0.1428928094313567,26,0.1470037564730945,56,0.1507773372300982,57,0.1514828904541017,18,0.1516604731221175,19,0.1554638767647415,6,0.1608807685135783,10,0.1614747541359484,1,0.1623259012927247,11,0.1626002550973349,8,0.1628490616930881,33,0.1631077899995619,60,0.1632538033556131,3,0.1652747032726473,4,0.1662096421528726,2,0.1678983611294798,64,0.1790651948018684,66,0.1801930791876557,65,0.1819853417688857,7,0.2058261374129032,63,0.2129130555999338,62,0.2689800392364486
41,51,0.0600786185756801,35,0.0740722856427484,57,0.0753405594983109,37,0.0856725746140984,52,0.0910088020358926,47,0.0921025469131804,55,0.095498942995913,36,0.0980805172327908,1,0.1007102373180846,26,0.1060318589606684,32,0.1093609479545951,49,0.1094476985641193,10,0.1154283094342211,54,0.1169209704809842,64,0.1172230008708955,11,0.1184480123170852,34,0.1208262090917128,3,0.1237885757415083,5,0.1256459205093751,12,0.1262283992877326,45,0.136348081900295,60,0.1370520864560192,30,0.137227006569052,22,0.138221198293333,59,0.1385211658772553,48,0.1386409797488819,46,0.1387889246951823,21,0.1405506894417715,13,0.1411416941726053,9,0.1414874532869513,28,0.1433767218702124,53,0.1452900197939784,50,0.1507108773800999,31,0.1510591472361347,58,0.1516540056111614,16,0.1558141059265797,24,0.1570275824807883,27,0.1582364040510455,19,0.1592459401845106,14,0.1598709446673044,66,0.1601090517598274,33,0.1607041578757808,15,0.1615008144320204,56,0.1624521764809407,8,0.1637276060822567,61,0.1654193225317841,17,0.1667841295973391,20,0.1678243952746501,25,0.1679201623645037,23,0.1690751809423751,2,0.1691553711220331,29,0.1703856734761217,65,0.1750153882232145,6,0.1777963864370699,63,0.1823780076167838,18,0.1830838166169133,4,0.2025636426906735,7,0.2146310798340741,62,0.2431510362715589
42,36,0.0471550800377132,34,0.057342956281714,54,0.0783883435664604,49,0.0784107681867992,32,0.0788556960479302,5,0.0897742137224295,12,0.0936246193008066,37,0.0937418809783933,51,0.0955007560496717,52,0.0996002662613827,47,0.1010381243113603,35,0.1014137212889441,22,0.1066403667898244,48,0.1107506557528306,28,0.1108874204598025,10,0.1197867188449008,55,0.122318697669892,57,0.1235687739848806,65,0.124214385780564,66,0.1243673148329279,2,0.1249958671158022,53,0.1259332640287969,60,0.1274635352974315,45,0.1279582738766838,21,0.1296605180392523,11,0.1299287494490804,33,0.1322871341541494,46,0.1342724692717535,30,0.1358167767120596,50,0.1359520720778322,9,0.1368957815639738,13,0.1419935749714227,8,0.1420127193080159,31,0.1452624575966136,19,0.1486246936902794,26,0.1487971665648021,14,0.1519777658517791,27,0.152462480223278,59,0.1531573741957598,64,0.1531601641913547,1,0.153306769174422,3,0.1538555851195328,58,0.1548966276484839,16,0.1562267062386524,61,0.1566626919935785,24,0.1579327449109189,15,0.1646253414781487,6,0.1652619765874806,29,0.1667015515149621,63,0.1668903640782643,56,0.1692981328743906,20,0.1695777550234587,23,0.1695820958123489,25,0.1720561806457011,18,0.1784394213791541,17,0.1789885415883768,4,0.189013551734825,7,0.2120609769442646,62,0.2233017327305015
43,45,0.0501248128790938,46,0.0529002816804811,53,0.0707543564948694,48,0.0723702722327115,6,0.0756642145954557,50,0.0763345415125751,60,0.0801324823005376,8,0.0983681620354355,18,0.1081016184706355,22,0.1095022220744017,49,0.1132061947283387,33,0.115215023954413,58,0.1169972462414646,23,0.1194077337086921,36,0.120728053039375,4,0.1207756191140245,28,0.1230760650678595,35,0.1246386973466209,7,0.1279987186570043,47,0.1309250467751124,31,0.1328751610800314,12,0.1331783591570356,15,0.1348335199307885,16,0.1349455710496336,51,0.1364855938872379,52,0.1386400106302203,32,0.1390818394675319,37,0.1396757605157125,34,0.1399558693494081,63,0.1403993434358606,27,0.1407356236184478,14,0.1414844364259012,30,0.1451237290925092,56,0.1506281666430502,13,0.1549545939453608,20,0.1549658672596559,54,0.155455666919923,9,0.1576691188408921,5,0.1590395146064863,55,0.1607938993264414,59,0.1608958625381671,57,0.1610687057658965,25,0.1661011974411202,26,0.1667392782857415,21,0.1674296732623511,29,0.1675634472688914,24,0.1717502412276614,1,0.1808040078386942,61,0.1825055285151729,19,0.1840074348247098,3,0.184722518880892,10,0.1850373456457866,11,0.1866569260472059,17,0.1885070241018976,64,0.1932819621323782,2,0.197344416845072,65,0.1984632467150565,66,0.1988388031245444,62,0.2130983928282877
44,36,0.049317624206277,34,0.0674292418040534,54,0.0736063317765987,49,0.0773749542006592,32,0.0802074982140726,37,0.0830773266923214,5,0.0859043012290288,35,0.0875469614525648,51,0.0876224278947134,52,0.0948501663892346,12,0.0966852543911992,47,0.0997928806503923,57,0.1039650181538371,48,0.1062858794029779,55,0.1074393675735326,22,0.1081663250452544,28,0.1094034085426285,60,0.1118864959513678,53,0.1186010721160829,10,0.1198347179334116,65,0.1199739292362414,45,0.1202898836340082,66,0.1215039634812744,46,0.1238077186672819,50,0.1315404362505016,33,0.1328666133959951,64,0.1345697324712313,59,0.1346827072546835,30,0.1358797524286835,11,0.1366089668950981,8,0.1370610759614115,2,0.1379386296019414,9,0.1383613180374182,1,0.138392718578907,58,0.1387730152546478,21,0.1391134029409788,13,0.1430424106163712,31,0.1441191470349695,61,0.1443450101123263,26,0.1454049837392621,56,0.1484319995935921,27,0.1514767840196978,3,0.1524809334102742,14,0.1525652489484137,63,0.1562537174943175,19,0.1573811335556547,16,0.1584965067396883,24,0.1589924162616278,25,0.163098803541046,29,0.1646223030076903,6,0.1649870829799796,15,0.1652278610243588,23,0.1675465073752235,20,0.1697696283070483,18,0.1781632609373789,17,0.1796615042658918,4,0.1850609019001494,7,0.2044693714117544,62,0.2155136200485745
