target,donor,geo_distance
38,37,0.0395987257175026
38,36,0.0439344420699751
38,33,0.0448482110470417
38,32,0.0458397329011633
38,31,0.0482202890689178
38,35,0.0485901492326376
38,30,0.0510220390659761
38,20,0.0522401452482666
38,29,0.0522910853630903
38,21,0.0524642885632694
38,19,0.0530930833830547
38,18,0.0538696908742755
38,22,0.0539750611393817
38,28,0.0547193079959898
38,17,0.0560470265987411
38,16,0.0570879970961497
38,27,0.0581481930684006
38,15,0.0584381900120974
38,34,0.0588014805756623
38,25,0.0629306638329042
38,26,0.0644730567438058
38,14,0.065884787617856
38,24,0.0663882147715993
38,23,0.0685811074430852
38,49,0.0709287786710726
38,50,0.0724386465216599
38,13,0.0728790961585694
38,48,0.0747878335723799
38,51,0.074819562374355
38,12,0.0754450902541047
38,47,0.0767086265017175
38,11,0.0787479127244018
38,46,0.0795579849468926
38,45,0.0818299494378433
38,10,0.0835872482646127
38,9,0.0852363357873272
38,7,0.0907233893908291
38,8,0.0925900703598933
38,6,0.0942548959040855
38,5,0.0978390820605446
38,4,0.0993829262247796
38,3,0.1019541239485681
38,2,0.1036217260595479
38,1,0.1070809860785751
38,52,0.1119372232975251
38,53,0.1167701675167506
38,60,0.1204654492619772
38,54,0.120596827057141
38,59,0.1218848195037019
38,55,0.1246972522213702
38,58,0.1264053404388042
38,56,0.1320720234867703
38,61,0.1320921964824569
38,57,0.1322374529326695
38,62,0.136042770361236
38,66,0.1373495206491818
38,65,0.1395921356130065
38,63,0.140058770028085
38,64,0.142650996710328
39,37,0.043923225698712
39,33,0.0473615896258772
39,36,0.0483201437440949
39,32,0.0490203608287413
39,31,0.0517982234616207
39,35,0.0530047516528471
39,21,0.0535360791035354
39,20,0.0537633062868161
39,30,0.0542025594414138
39,22,0.0546577041728794
39,19,0.0549540637249876
39,29,0.0557452651960684
39,18,0.0560011818764568
39,28,0.0583586732704745
39,17,0.0585003438062546
39,16,0.0599463528915646
39,15,0.0614862756863676
39,27,0.0618813809226167
39,34,0.0631162344074802
39,25,0.0666216745886802
39,26,0.068377618769302
39,14,0.0694239182486843
39,24,0.0701920885887433
39,23,0.0724989923163763
39,49,0.0730575333431125
39,50,0.0743014654887775
39,51,0.0763376280713515
39,13,0.0768890991739401
39,48,0.0775422383285393
39,12,0.0795289326457988
39,47,0.0797458833789556
39,11,0.0828705210661789
39,46,0.0828992785242428
39,45,0.0854593002747506
39,10,0.0877624887124333
39,9,0.0893629467396862
39,7,0.0949823839638172
39,8,0.0967921077882902
39,6,0.0984949865300768
39,5,0.1020549831501627
39,4,0.1036630887512522
39,3,0.1062736561001361
39,2,0.1080070861142452
39,1,0.1114780809282703
39,52,0.1163641663051388
39,53,0.1212260550069992
39,60,0.1247386998640758
39,54,0.1250688079742506
39,59,0.1262081234509094
39,55,0.1291860736203791
39,58,0.1307958098555913
39,56,0.1365661548253446
39,57,0.1366716581661684
39,61,0.1367139339952223
39,62,0.140654745584534
39,66,0.1420018634154144
39,65,0.1442335663063561
39,63,0.144660040805642
39,64,0.1472790311747738
40,37,0.0508164013079438
40,33,0.0530446279142383
40,36,0.0552218018499939
40,32,0.0552596891041742
40,21,0.0576796288466734
40,31,0.0583197082507277
40,22,0.058331607320217
40,20,0.0584096067365634
40,35,0.0599085016662075
40,19,0.0599504730887088
40,30,0.0604243054693224
40,18,0.0612667047742083
40,29,0.0621714172903433
40,17,0.0640671571477929
40,28,0.0649096890850664
40,16,0.0658791547718244
40,15,0.0675780861703703
40,27,0.0684894298965906
40,34,0.0700039986318638
40,25,0.073196405208521
40,26,0.0750848544174522
40,14,0.0758886582728275
40,24,0.0768368832332493
40,49,0.0782425049522956
40,50,0.0792007364640632
40,23,0.0792112080741103
40,51,0.0808480203523252
40,48,0.083331945131804
40,13,0.0836502835826036
40,47,0.0857881885563508
40,12,0.0863267305004075
40,46,0.0891943182090092
40,11,0.0896856546382418
40,45,0.091973133319247
40,10,0.0945996479139853
40,9,0.0961783470821265
40,7,0.1018502799456143
40,8,0.103638768960896
40,6,0.1053559182338135
40,5,0.1089064413700585
40,4,0.1105371194330663
40,3,0.1131589403828084
40,2,0.1149061686382414
40,1,0.1183787618198466
40,52,0.1232677627651284
40,53,0.1281305271466952
40,60,0.1316090922560064
40,54,0.1319728025417736
40,59,0.1330935200843752
40,55,0.1360887256535236
40,58,0.137695250400622
40,56,0.1434682249853604
40,61,0.143555138535686
40,57,0.1435755871538055
40,62,0.1475054197309373
40,66,0.1488024563809348
40,65,0.1510509496182
40,63,0.1515197397495785
40,64,0.1541133615488611
41,37,0.0491025075734427
41,33,0.0497800028213136
41,32,0.0523728751358945
41,36,0.0535934259163379
41,21,0.0538829789915145
41,22,0.0544608569015398
41,20,0.0547271602447084
41,31,0.0557191295387859
41,19,0.0563726141835732
41,30,0.0575097855654148
41,18,0.0577871670163886
41,35,0.0583183078029532
41,29,0.0594505613934805
41,17,0.0607187931277458
41,28,0.0623329553723389
41,16,0.0627372124960935
41,15,0.0645452252886299
41,27,0.0659856343978748
41,34,0.0682094592821259
41,25,0.0706376179792326
41,26,0.0727345153402427
41,14,0.0731876831562524
41,24,0.0743766044122074
41,49,0.0747100238747117
41,50,0.0755692700478177
41,23,0.076864776704873
41,51,0.0771094554628678
41,48,0.0800785569411687
41,13,0.0813994422005458
41,47,0.0826952250851885
41,12,0.0841620141453376
41,46,0.0863032517701389
41,11,0.087565738876572
41,45,0.0893126059324774
41,10,0.0925445779383103
41,9,0.0940535179340996
41,7,0.0999112760647666
41,8,0.1016105158624834
41,6,0.1033832369863703
41,5,0.10689289323898
41,4,0.1086228374995331
41,3,0.1113086142214069
41,2,0.1131749819193711
41,1,0.1166678735723334
41,52,0.1216144065456474
41,53,0.1265370759018083
41,60,0.129666058502447
41,54,0.1304140675419641
41,59,0.1312345980287973
41,55,0.1345680953491206
41,58,0.1359588387159878
41,57,0.141926366714892
41,56,0.1419573386498916
41,61,0.1424409507441241
41,62,0.1463511737769465
41,66,0.1478291499498323
41,65,0.1500222939181041
41,63,0.1503240605488356
41,64,0.153023246028177
42,33,0.0476274144013717
42,37,0.049512077495193
42,21,0.0503784215700531
42,22,0.0506717648849928
42,32,0.0509301071655067
42,20,0.0515686790127495
42,19,0.0534835523835131
42,36,0.0540858081529711
42,31,0.054748279337802
42,18,0.0551285056562392
42,30,0.0559883136507074
42,29,0.0582577694723201
42,17,0.0583394988408367
42,35,0.0588320996386326
42,16,0.0607683577814144
42,28,0.0613663436512229
42,15,0.0627762092711084
42,27,0.0651207575167856
42,34,0.0683934232543597
42,25,0.0696655424829951
42,49,0.0718816909178547
42,14,0.0719722476267762
42,26,0.0720848929033677
42,50,0.0724969763262579
42,24,0.0735491510827963
42,51,0.0737425760120298
42,23,0.0762070957100452
42,48,0.0778396502654655
42,47,0.080760549117623
42,13,0.080873931297112
42,12,0.0837578406770972
42,46,0.0847260646245887
42,11,0.0872188467241455
42,45,0.088120399434864
42,10,0.0922805594881716
42,9,0.0936839357704937
42,7,0.0997985842835458
42,8,0.1013663556399755
42,6,0.1032157363433018
42,5,0.1066603447767256
42,4,0.1085292758501593
42,3,0.1113008065584432
42,2,0.1133297175815769
42,1,0.1168451601479495
42,52,0.1218632000774638
42,53,0.1268604414657697
42,60,0.1295018559112185
42,54,0.1307793031589096
42,59,0.1311873837777475
42,55,0.1349794341742474
42,58,0.1360765206010573
42,57,0.1421569705591674
42,56,0.142373801313479
42,61,0.1433699065355069
42,62,0.1472258368969251
42,66,0.1489284657981811
42,65,0.1510510785282912
42,63,0.1511425278727995
42,64,0.1539726696004521
43,33,0.0432246834858278
43,21,0.0459719835939238
43,37,0.0462739132401832
43,22,0.0463672907866094
43,32,0.0467272916244886
43,20,0.0470985325555903
43,19,0.0489986822011572
43,18,0.0506504443986427
43,31,0.0507259558805943
43,36,0.0508806432731544
43,30,0.0517495329039789
43,17,0.0538896458185614
43,29,0.0541357367231665
43,35,0.0556218276898557
43,16,0.0563954475270832
43,28,0.0573322770338837
43,15,0.0584533354480306
43,27,0.0611246733688614
43,34,0.0649438690331889
43,25,0.0656160634279442
43,49,0.0673967518202472
43,14,0.0678225861478313
43,50,0.0680217768438902
43,26,0.0681764847273604
43,51,0.0693096238323365
43,24,0.0695570412787231
43,23,0.0722889497741529
43,48,0.0734045710005855
43,47,0.0763844243867164
43,13,0.0770129407956871
43,12,0.0799534819727071
43,46,0.0804433385255733
43,11,0.0834394390894378
43,45,0.0839652663837256
43,10,0.0885383379321071
43,9,0.0898859202977863
43,7,0.0961293075209117
43,8,0.0976255156368456
43,6,0.0995137201584787
43,5,0.1029210352239035
43,4,0.1048624946627248
43,3,0.1076788793099649
43,2,0.1097984823979366
43,1,0.1133241859686183
43,52,0.1183804195629074
43,53,0.1234186472044642
43,60,0.1257829695348301
43,54,0.1273602002996226
43,59,0.127530185437723
43,55,0.1315858104791318
43,58,0.1325083527312901
43,57,0.1386506447819483
43,56,0.1389788764525027
43,61,0.1403100432700739
43,62,0.144126021437664
43,66,0.1459858921075938
43,63,0.1480021062718028
43,65,0.1480566341806067
43,64,0.1509206315901176
44,33,0.0433506343411488
44,21,0.0448054675892351
44,22,0.0448906229382039
44,20,0.0462804988929462
44,32,0.0473992238005012
44,37,0.0481920740256113
44,19,0.0484314775717198
44,18,0.050287586926497
44,31,0.0517176759618024
44,30,0.0523269137336609
44,36,0.0528129185311699
44,17,0.0537578120628062
44,29,0.0549454158314413
44,16,0.056594609919055
44,35,0.0575373639115487
44,28,0.0582871850562368
44,15,0.0588024867662074
44,27,0.0621320864914417
44,25,0.0665282401081676
44,34,0.0666183267869284
44,49,0.0668241386270709
44,50,0.067224554917753
44,51,0.0682290122886884
44,14,0.0685514912958864
44,26,0.0693016949640483
44,24,0.0705550635162353
44,48,0.0733231523319203
44,23,0.0733935550970246
44,47,0.0765405252137715
44,13,0.0781909170165563
44,46,0.0808649505888057
44,12,0.0812029390040163
44,45,0.0846617629262466
44,11,0.0847167119634018
44,10,0.0898565448361441
44,9,0.0911324687303597
44,7,0.0975276230089711
44,8,0.0989369392856378
44,6,0.1008706011377448
44,5,0.1042300749970467
44,4,0.106256711975197
44,3,0.109122346133961
44,2,0.1113393393809213
44,1,0.1148735676723761
44,52,0.1199663646268403
44,53,0.1250432587422848
44,60,0.1271025487938381
44,59,0.1289217380385868
44,54,0.129005293314693
44,55,0.1332537739719967
44,58,0.1339970665159875
44,57,0.140202320094141
44,56,0.1406423400220929
44,61,0.1422689400247995
44,62,0.1460509467130562
44,66,0.148034402115792
44,63,0.1498918533476719
44,65,0.1500645227286583
44,64,0.152881984903029
