target,donor,weighted_ks,mean_ks,marginal_energy,sinkhorn_wasserstein
1,2,0.048614269129012254,0.11669732032586488,0.8649822195010504,0.291090796105529
1,3,0.11444555618567283,0.08850934276219843,0.4831681390974736,0.22803225815100198
1,4,0.1171081386001788,0.15875415391618658,1.650844293688462,0.23393465352990522
1,5,0.025798443586928156,0.09761747607184673,0.9964356121372522,
1,6,0.08708143734778745,0.1475112102592386,1.8078038082757253,0.39589404063361744
1,7,0.07167225102147465,0.21944698409575691,1.8444455989112432,0.31968443745391284
1,8,0.0378224966872235,0.1332392666465407,1.7468507956225192,0.24477845182820995
1,9,0.0720737762263917,0.12422231212384587,1.1244670186179087,0.25477474624017216
1,10,0.022520254514908983,0.07398214934907259,0.4697101143784955,0.15027197965640432
1,11,0.04213244288191063,0.07979749960728114,0.4447104195772679,0.24470839967334923
1,12,0.059408912700215616,0.10183856146597789,1.1195879102127144,0.22994950055960645
1,13,0.07779578031110716,0.1278956915630518,1.2139030643842397,0.28651391132613213
1,14,0.06988331376620009,0.12379777726387067,1.2917159091370962,0.24487060965030388
1,15,0.12552330115227367,0.1352890444942178,1.20563677751502,0.30137246275624235
1,16,0.09941636809207607,0.13055685178759127,1.305977787168357,
1,17,0.21882577390223065,0.14695892508306416,0.9900240969403795,0.4602116292865007
1,18,0.16477977982978298,0.161724242285626,1.6493075920657596,0.40881234929817084
1,19,0.20164451381569087,0.12050694449251384,0.8124886148421814,0.4696576594923182
1,20,0.16872090586104768,0.1408534782612267,1.225219156893764,0.384984704797317
1,21,0.15357445738556114,0.10511327694775807,0.747395545445093,0.407464736473466
1,22,0.0775951945154926,0.13459306399129523,1.3802460038701865,0.2659418217493907
1,23,0.10276659619837052,0.14290799932231996,1.5886952297404848,0.307022714589123
1,24,0.10014548964496021,0.11828751860633077,1.027888750178843,0.2655639177849176
1,25,0.028056716504750556,0.1206976217000451,1.1962913438550722,0.2046642905297839
1,26,0.08728444104788759,0.058955114069942714,0.1954110874400274,0.22000517342850578
1,27,0.13078231586801184,0.13453772769740796,1.3307865340233758,0.3151893755912521
1,28,0.06511010000697842,0.10069458902353037,1.163449794194232,0.19703275243471755
1,29,0.12289813407902243,0.14262777757202433,1.1663478181886389,0.29861452384428305
1,30,0.057816902636413835,0.13310427708282266,1.2512881777313738,0.24808707345669295
1,31,0.06416870379992137,0.13511815928720886,1.3915591674643306,
1,32,0.06895410659386587,0.09773680513013847,1.0200633043086185,0.2289410330463162
1,33,0.04798053280503319,0.14749740274720197,1.554127736674639,0.25778730111333986
1,34,0.05375534608763232,0.16780350580345677,1.0470040600635744,
1,35,0.04673242220456168,0.1510544132742347,0.8853542783187592,0.319271347890598
1,36,0.059815089377112336,0.1601081517790402,1.0926707343865967,0.41906477915706297
1,37,0.02755711851832548,0.1543572494474153,0.8903160852800868,0.3363281313169987
1,38,0.1592727398141381,0.11784630768932221,0.3710751276345457,0.467995751030924
1,39,0.13651341470152314,0.20092749559126646,1.7911032667458833,0.41185445515197505
1,40,0.09495544042840957,0.16232590129272478,1.193237933154449,0.3887687562901408
1,41,0.0356867020149922,0.10071023731808468,0.3396458166028911,0.25886149213279463
1,42,0.07114845448851553,0.15330676917442204,0.9766089323559282,0.34893847328993743
1,43,0.09300361554916085,0.1808040078386942,1.8221767021150725,0.36199705183842423
1,44,0.03975387537636377,0.13839271857890706,1.0125848285358159,0.39223468280449547
1,45,0.08173537483358717,0.20316811388563494,1.8043997418659412,
1,46,0.05972360153682341,0.20314915038288506,1.8570717064747733,0.3904005834305468
1,47,0.09843593684180439,0.14168668442601198,0.5869048764906529,0.28311506151366606
1,48,0.11222159138051152,0.19332860159913584,1.5771812453241716,0.321718682102804
1,49,0.09135374305507458,0.14902727572536137,1.088987882025722,0.34895821924169557
