target,donor1,score1,donor2,score2,donor3,score3,donor4,score4,donor5,score5,donor6,score6,donor7,score7,donor8,score8,donor9,score9,donor10,score10,donor11,score11,donor12,score12,donor13,score13,donor14,score14,donor15,score15,donor16,score16,donor17,score17,donor18,score18,donor19,score19,donor20,score20,donor21,score21,donor22,score22,donor23,score23,donor24,score24,donor25,score25,donor26,score26,donor27,score27,donor28,score28,donor29,score29,donor30,score30,donor31,score31,donor32,score32,donor33,score33,donor34,score34,donor35,score35,donor36,score36,donor37,score37,donor38,score38,donor39,score39,donor40,score40,donor41,score41,donor42,score42,donor43,score43,donor44,score44,donor45,score45,donor46,score46,donor47,score47,donor48,score48,donor49,score49,donor50,score50,donor51,score51,donor52,score52,donor53,score53,donor54,score54,donor55,score55,donor56,score56,donor57,score57,donor58,score58,donor59,score59
38,47,0.1965431958533939,21,0.2019049353675785,18,0.2095452949687211,50,0.2182845249161392,49,0.219808380368016,48,0.2273385545735512,23,0.2282707816413818,22,0.2494671524250758,52,0.2527593689719953,26,0.2529009863450478,45,0.2535528614719667,19,0.2707930477561968,34,0.275630559591019,53,0.2757722677256701,51,0.3045833425294997,46,0.3052577583942671,31,0.3076670558058024,32,0.3235007685514261,6,0.3283977457011164,16,0.3318714947429571,33,0.337054575978246,4,0.3436520834103947,27,0.3485305721717655,36,0.360104750715799,20,0.3601089620175925,17,0.3660478544083457,7,0.3665552527050226,11,0.3691332164158618,3,0.3853641114929605,12,0.4099415819144569,5,0.4120698667206778,10,0.4169344652365582,8,0.4204470530823281,28,0.4216289295198822,35,0.4226386298625653,2,0.4275442915714961,55,0.4565742205780997,37,0.4614729308544327,54,0.4637538364295996,56,0.4759663188874808,1,0.4897362656766115,14,0.500309956262741,57,0.5008165201654815,60,0.505911770819304,58,0.5447462611808824,64,0.6800448865776115,65,0.6911623392440198,62,0.7446888265178211,63,0.7561541261705302,66,0.8089784115706179,9,,13,,15,,24,,25,,29,,30,,59,,61,
39,48,0.1507047802979587,45,0.1518337675815984,50,0.1529722685400273,49,0.1594023524596292,22,0.1763178598622805,18,0.1871927637127128,23,0.188406556195933,46,0.1936646967077588,53,0.1957476255110198,34,0.2106815091701607,31,0.2120269841713825,16,0.2271530778750707,33,0.2277022353457817,51,0.2359715648108682,32,0.2403575108429424,36,0.2408009767504499,4,0.2420336057644242,47,0.2420490983777539,35,0.2441990136890207,6,0.2486525510759797,29,0.2486756237353587,21,0.2572359053832608,24,0.2619199742085698,17,0.2776252081913721,26,0.2783322675269483,12,0.2798480454490444,30,0.2818929524480359,13,0.2991527285417857,19,0.3016819640983575,9,0.301695402037903,14,0.3017466499301811,7,0.3024691544333612,27,0.3045506331278799,20,0.3098053917992541,37,0.3141055761396459,8,0.3146959701842694,5,0.3233009692261174,3,0.338469755005037,28,0.3400351635834517,25,0.3578667172525075,55,0.3764884318470484,2,0.4076521542058251,60,0.4164388403666711,56,0.4223403929213106,10,0.4257338612593223,57,0.4448172912801745,1,0.4708895314196596,58,0.4938039173659046,11,0.5012993078538874,54,0.5194056352880075,63,0.664317714710702,59,0.6660553957509638,62,0.6870993042116134,65,0.69370275001097,66,0.706159668917877,61,0.711568195454463,64,0.8386165469635289,15,,52,
40,34,0.1477081591263712,49,0.1536845344872182,36,0.159997003782455,47,0.1815213550520215,31,0.185019776145868,48,0.190431821805866,51,0.1939388378041712,22,0.1956750645703319,32,0.20054875092399,52,0.2174189467649642,16,0.2238569043609898,50,0.2241903652979093,23,0.2252768824191834,21,0.2262858817414239,35,0.2266347025306777,27,0.2283936874021169,9,0.2357934561923979,45,0.2369724615833623,29,0.2457727088357986,5,0.2483829994292608,37,0.2509063284412561,13,0.2516407021543568,24,0.2516794988578578,30,0.252695315165066,25,0.2653345098787319,46,0.2741829838870438,14,0.278219670428209,12,0.2815691828457927,33,0.2820036776520745,2,0.2891997238468151,20,0.2893238117179178,10,0.2984415276407607,26,0.2998913778220031,55,0.3035476630182892,4,0.308470773220217,56,0.3133333364921966,8,0.3156667511492647,18,0.3217045540078655,17,0.3231278195198029,19,0.3255223487271764,11,0.3325788946696403,6,0.3415460433876097,28,0.3447775039334199,54,0.3678435767154389,3,0.3731461987074563,7,0.4035968847780353,57,0.4119571318318196,1,0.4201736576417842,58,0.4735109541373478,60,0.4921958240138348,53,0.5036685101759858,65,0.5115908641632145,66,0.5219765927407618,59,0.5677163275713765,61,0.6159957636685122,64,0.7027871424521424,63,0.8282583751311785,15,,62,
41,35,0.1493781492121264,47,0.1643634933988138,51,0.1671374675718748,37,0.1862739039163518,52,0.1863947760208262,46,0.1891950822669691,36,0.1895808369830955,45,0.1915963450291496,34,0.2077233467809836,31,0.2124933682106883,48,0.212559340588489,26,0.2177501746583242,10,0.2181603112478128,55,0.2200340862227817,33,0.2204094779500824,22,0.2224774173681783,49,0.2243247484505303,53,0.2245176001167488,50,0.2304903723920681,23,0.2320264414725753,54,0.2382015828635567,11,0.2387698333463443,9,0.2461527417897508,57,0.2480725056922022,5,0.2499614042384389,12,0.251904861357746,8,0.253878204055639,6,0.2552696545389334,32,0.2586121687353948,60,0.2657095083911667,1,0.2667896881029192,24,0.2698353258682212,13,0.2735706808993843,25,0.2782918554459913,2,0.2788705391680238,28,0.2800454615939919,16,0.2906546364584014,29,0.2930864304278598,30,0.2989357281437103,14,0.2992537641897487,4,0.3025159320176971,58,0.3048892190237675,7,0.3124664168159571,27,0.3296970127184532,21,0.3382695124428455,3,0.3402702965330842,56,0.3530371938152553,18,0.3700086503412229,17,0.4044353858664838,19,0.4255478427942213,20,0.4286324428851086,65,0.4292016660592957,66,0.4449056868226625,15,0.4888112985640617,59,0.5311171137915445,64,0.5377746496214998,63,0.5588464046845408,62,0.593013289652765,61,0.6007881626565523
42,36,0.1185130184524067,34,0.1258487443528771,49,0.1439834724007387,22,0.1499741837588443,48,0.1526284056063504,33,0.1632395563230414,12,0.1792536343828737,31,0.1819913217219178,37,0.1821309398116904,47,0.1926367748212924,32,0.1937634891497459,5,0.194356456921423,35,0.1993169214002633,8,0.2019366831917676,46,0.2023178504844817,16,0.2065279794830867,52,0.214823432640185,53,0.2159845333567412,9,0.2190742285709322,45,0.2217999417443919,13,0.2326950351563471,6,0.234636452942543,27,0.2358571995385168,54,0.236491444181503,50,0.2403480572067568,2,0.245673607177588,23,0.2494844589510977,51,0.2504017030941687,14,0.2508442369304056,24,0.2528566770076154,60,0.2537896528400199,30,0.257515271164575,56,0.2627217560715675,28,0.2651673924997992,21,0.2654228174344596,4,0.2731886910272249,11,0.2733992875036473,10,0.2798701556198699,25,0.2821256681111724,55,0.2927179522336483,26,0.2943575858549462,7,0.3189213692585373,58,0.330977150521802,18,0.3442954742308851,20,0.3754401367791483,19,0.3888005697891422,17,0.3929645947208245,65,0.4036923082316392,1,0.4179927583135828,66,0.4306018631254061,3,0.4426357721619941,59,0.4837119128407825,63,0.5196903728747779,61,0.5258768244209868,62,0.5789113209233986,64,0.5986095670158227,57,0.780826759993344,15,,29,
43,46,0.1531161474520049,45,0.1618638596893339,48,0.1618754898946613,53,0.1620305724912543,51,0.1646154199191838,49,0.1790126391602311,50,0.1794362679598164,33,0.1819575515891399,23,0.1827889231283935,35,0.1845543063774996,31,0.1927266144214242,22,0.1954083019576298,34,0.195482315197627,47,0.1957003964025972,8,0.1982194363247318,6,0.199655190471806,26,0.2064344221861303,16,0.2101861942726997,36,0.2181945003715374,37,0.2218434602691218,4,0.2245424441830083,12,0.2271734361068935,52,0.2351563978012284,5,0.238156701686915,13,0.2409902628889087,18,0.2468993913980344,55,0.2536596650502253,30,0.2536720945436962,27,0.2559256225055119,32,0.2571887756081888,7,0.2697308008229107,9,0.2726008825988532,29,0.2736605885040203,14,0.2782050619678624,25,0.2951061705914187,24,0.3012653610328589,21,0.3063709889534031,57,0.3077607160085084,10,0.3127951245791108,11,0.3135138679178478,20,0.3212911246593624,28,0.3252470563358242,60,0.3294078751312578,3,0.3578795968852537,17,0.3658656645143118,54,0.3731503279110114,58,0.3799722681196625,19,0.3827291128365812,1,0.3879765200091234,2,0.4099686841642982,56,0.495388660907591,65,0.5059201303871466,59,0.5375383523210471,63,0.5392041412658528,62,0.5977077379014515,61,0.6244538111240853,64,0.6415591156979745,15,,66,
44,34,0.1295279642676124,36,0.1352306967474781,49,0.1510040443493526,48,0.1538708580709845,22,0.164179265054386,37,0.1673455517633368,33,0.1814796896792493,46,0.1823797244463332,31,0.1909868580360672,35,0.1918618811879353,32,0.1933979277146389,5,0.203681629515528,12,0.2086073288949594,52,0.2124182301398878,45,0.2133019363286759,47,0.2145707838642309,54,0.2223205102128825,8,0.2263511384158775,9,0.2356386603510204,55,0.2388102651380603,60,0.239550058276836,53,0.2481752974651788,16,0.2521912012526479,50,0.2554023172101255,2,0.2688715743459839,23,0.2703040980258533,30,0.2736787233556419,6,0.2756040364718657,51,0.2761263865675831,10,0.2807727212872696,29,0.2904574783165538,24,0.2964780171209019,25,0.2975189966936624,11,0.3033709460457452,58,0.3035498779092704,14,0.3104787803876794,56,0.320924135684497,4,0.3239446308435456,26,0.3288912164678454,27,0.330043758726631,7,0.3334525860375567,21,0.3782047745427714,65,0.3919310293505594,66,0.4123282007115804,18,0.4313187863253437,20,0.4324670624987078,17,0.4427197351482633,19,0.4449522206157889,59,0.4552615915308791,3,0.4781494791175533,1,0.4800353122042148,61,0.4979145539744272,63,0.4986425511514432,62,0.5500707355252175,64,0.5962285379555152,13,,15,,28,,57,
