target,donor1,score1,donor2,score2,donor3,score3,donor4,score4,donor5,score5,donor6,score6,donor7,score7,donor8,score8,donor9,score9,donor10,score10,donor11,score11,donor12,score12,donor13,score13,donor14,score14,donor15,score15,donor16,score16,donor17,score17,donor18,score18,donor19,score19,donor20,score20,donor21,score21,donor22,score22,donor23,score23,donor24,score24,donor25,score25,donor26,score26,donor27,score27,donor28,score28,donor29,score29,donor30,score30,donor31,score31,donor32,score32,donor33,score33,donor34,score34,donor35,score35,donor36,score36,donor37,score37,donor38,score38,donor39,score39,donor40,score40,donor41,score41,donor42,score42,donor43,score43,donor44,score44,donor45,score45,donor46,score46,donor47,score47,donor48,score48,donor49,score49,donor50,score50,donor51,score51,donor52,score52,donor53,score53,donor54,score54,donor55,score55,donor56,score56,donor57,score57,donor58,score58,donor59,score59
38,27,0.0349132724845047,15,0.0436163522092514,29,0.0522088500832354,4,0.0553810021866409,3,0.0555478946581362,21,0.0557905815077622,18,0.057054983473875,50,0.058981053100693,20,0.0594104389081975,23,0.0643586213997886,24,0.0647884758952197,47,0.0666626730906421,48,0.0690962960801305,16,0.0717923916974099,49,0.0744109615865814,26,0.0767222748267507,6,0.0811271805838088,45,0.0866727924355895,22,0.0878656476093641,13,0.0912981424146288,52,0.0929901104653518,9,0.0952652854694349,14,0.0989832190335649,53,0.0990089535994981,28,0.0992615591513003,19,0.1026807666497578,51,0.1040461085704448,32,0.1041555106682955,12,0.1048664437752311,7,0.1054053413359286,31,0.1085684374621828,46,0.1091448219298086,36,0.111412412149613,34,0.1119706880770295,33,0.1189012860046489,30,0.1194752211531808,11,0.1199652507158903,2,0.1232411087484857,17,0.1278384169269597,8,0.1322569427960966,35,0.1332080668639345,25,0.1383253825555025,5,0.1388156973619412,10,0.141665963241758,37,0.158047041899255,1,0.1592727398141381,56,0.1681241087149931,55,0.1729379640634623,54,0.1937362536079387,60,0.2011017142314856,57,0.2262671165867537,58,0.2265428192410255,65,0.2753804839173828,66,0.2854326134126173,62,0.2930358626866084,59,0.2983677664330979,63,0.3108684759329211,61,0.3176124703622041,64,0.3312363589555181
39,3,0.0312263836900911,27,0.0315029163068382,4,0.0334443632388719,50,0.0355190281967648,15,0.0443578911699886,29,0.0451623395785031,23,0.0472851497447089,47,0.0475336859294718,48,0.0518694459492963,26,0.0527657907512322,24,0.0529355168575169,16,0.0563362916568263,49,0.057809825126727,6,0.059731804759175,45,0.0633700713649385,13,0.0644857071708384,21,0.0673438688274066,22,0.0683190462291969,18,0.0701363647854153,9,0.0705297969466203,52,0.070737288197769,53,0.0713030044142514,20,0.0748472345861366,7,0.0759236163267382,32,0.0766399085867563,28,0.0770269995530087,31,0.0802568355288974,12,0.0815920473631589,14,0.0835670606215073,51,0.0865174786744263,46,0.0874331318052328,34,0.0885034339050175,36,0.0904095442678863,30,0.0921408787898354,33,0.096690929135951,11,0.0993392971422358,2,0.0996793245214782,8,0.1121298367731022,25,0.1129872610454651,5,0.1135232995013705,10,0.1175272674940766,35,0.1179120069224843,19,0.1182747462307395,37,0.1332002259856608,1,0.1365134147015231,17,0.1381186543789774,56,0.1453716748745377,55,0.1471077848332649,54,0.1693718082041644,60,0.1773458427341985,58,0.2009094140625355,57,0.2025153793777639,65,0.2607608972807892,66,0.2707150160043646,62,0.2762055252434969,59,0.2828171474717664,63,0.2937417339645491,61,0.30332241359925,64,0.3188588182396694
40,49,0.0150742393039134,16,0.0202797851789757,6,0.0231217496782914,50,0.0249553541407704,26,0.025823059508782,23,0.0300968892959657,47,0.0309581004273941,48,0.0315533216455735,24,0.0318018756767919,4,0.0321103670574082,22,0.0330030609667593,3,0.0335834178075572,13,0.0340047578918675,14,0.0340590539841874,9,0.0342921497817978,15,0.034456601640709,28,0.0350748552777558,45,0.0363773752290511,29,0.0386337578896588,27,0.0420081009366663,36,0.0431281625290274,53,0.0436253097278151,12,0.0440373319564419,52,0.0451670353634677,7,0.0457405583079566,32,0.0462972494712259,34,0.0465663559219772,31,0.0472636989488728,51,0.0474674395525317,46,0.048022352504284,2,0.0551020484375381,11,0.0580215114449454,33,0.0590462539388554,30,0.0605878288161771,21,0.0649301458995954,8,0.0667911151376554,35,0.0710257327228186,25,0.0726898196500338,18,0.0750744482607828,5,0.0756688093506358,20,0.0785565151775257,10,0.0785796975018824,37,0.0911141874083876,1,0.0949554404284095,56,0.0991679937718586,55,0.107448645602093,19,0.1167567348496513,54,0.1269770741259265,17,0.1291930563170749,60,0.132658774968658,58,0.1587553812698202,57,0.1606462788849216,65,0.2151780443426814,66,0.2268868393340976,62,0.2331062040309069,59,0.2331123580910882,63,0.250560102832042,61,0.2573176279839111,64,0.2739744268985772
41,33,0.0188703779184483,10,0.0254392653477458,35,0.0258939118484244,25,0.0280623607756833,5,0.0289659028162135,36,0.0310597846134017,11,0.0316773237408785,30,0.0325017599330297,46,0.0328839392018979,51,0.0336761138313811,37,0.033820053089424,1,0.0356867020149922,34,0.0357197912426284,52,0.0383398486236304,32,0.0383932101287072,31,0.0390257355243364,53,0.0415760100974259,12,0.0457137103167973,8,0.0463063931348585,22,0.046625293919329,56,0.0471190070652089,55,0.0474879071533721,7,0.0495025177271917,9,0.0495418227288313,13,0.0499289420591614,45,0.0516221430993805,28,0.0556369917382661,6,0.0561981979885719,26,0.0568515232018568,49,0.0633676599400045,2,0.0657657816448317,47,0.0687054943781741,54,0.0700550940912849,23,0.0705938344750201,14,0.0733649502627648,24,0.076777251948645,50,0.0791064392341438,60,0.080603989388413,16,0.0809438229932562,3,0.0821691022024093,4,0.0848019715018841,48,0.0915001970489709,29,0.0916945635414414,15,0.0949798126508275,27,0.1006182505278509,57,0.1018269966217411,58,0.1028252827301442,21,0.1251597337971272,18,0.1337523254710781,20,0.1419214332693196,65,0.1671279210281802,19,0.1751871597205979,66,0.1791155829230907,59,0.184805524225989,62,0.1851422203257682,17,0.1909156986719423,63,0.2016921017275395,61,0.2131898435064521,64,0.2239616270988575
42,36,0.0190222290502474,12,0.0218677825372562,51,0.0226682387114088,46,0.0228072691805637,32,0.0236113842758611,34,0.0264956591780066,9,0.0270679115389597,52,0.0274661160040962,31,0.0276297211819194,6,0.0276613772956856,22,0.0280249995360034,33,0.0287906182704767,53,0.0313977820680009,11,0.0315638989580197,30,0.0326097776457622,45,0.0344721200308119,28,0.0347405246530196,49,0.0364073208627328,13,0.0386366771746332,7,0.0405272494775589,8,0.0406327831751287,35,0.0426074881709046,26,0.0453602871736864,16,0.0476478932075695,47,0.0481465898285688,2,0.0484445230919556,25,0.0490540305095775,5,0.04911466236011,23,0.0508776865858319,14,0.0520918489164652,10,0.0528092994144366,24,0.0548360407614771,50,0.0576985543419611,48,0.0585587363687498,15,0.0632384620405197,3,0.063485187309117,4,0.0642148537692615,37,0.067752859093653,27,0.069763030714841,29,0.0709184828615816,1,0.0711484544885155,56,0.0772604514136802,55,0.0828633963438734,21,0.0918651014226396,18,0.1015620947499958,54,0.1023320592379095,60,0.1092170861511897,20,0.1094511961602436,58,0.1364180755474712,57,0.1369007636321744,19,0.1412265678056577,17,0.1592111946448148,65,0.1817089545517882,66,0.1921723499247493,62,0.2011172504845715,59,0.2070184775848796,63,0.2187968678077071,61,0.2261734193845246,64,0.2410298421613131
43,49,0.0119537292842725,6,0.0139249440113938,26,0.0207263062727337,45,0.0226263422980452,22,0.0234819226105338,47,0.0238924113925437,50,0.0269113732162733,28,0.0297742738185498,9,0.0299195575430466,13,0.0303603360355185,16,0.0334466512037659,4,0.0336929856935505,48,0.0354800579452751,53,0.0355007428833269,3,0.0356054704120723,7,0.0367548679032767,52,0.0373725213888284,12,0.0374489577999304,46,0.0381896079188419,51,0.038372727083687,23,0.0391560928255838,15,0.0402149219583599,32,0.0404657301510474,31,0.0410538804315657,14,0.0410571122571371,29,0.0420046696159515,36,0.0428927470698899,34,0.0435500295925321,27,0.0437659539013454,24,0.0451481891729696,33,0.0502391480493026,11,0.0530586389988219,30,0.0545562905715761,2,0.0549566764472722,8,0.063638744304991,25,0.0687719084088361,35,0.0706662991432447,21,0.0712043654665779,5,0.0715619180411932,10,0.0748301557963952,18,0.0777637623099647,20,0.0870066127294975,37,0.0899597350511981,1,0.0930036155491608,56,0.0984335144634509,55,0.1054558924686364,19,0.122977159889255,54,0.1252897486862785,60,0.1288913913701282,17,0.1372536377748943,58,0.1556188741528517,57,0.1592226459291917,65,0.2139953386425607,66,0.2243730628581004,62,0.2289779707067301,59,0.2336435481631603,63,0.2465854632868745,61,0.2569091515381427,64,0.2723192615891688
44,37,0.0309003923341698,1,0.0397538753763637,33,0.041416632543771,56,0.0436146061049003,30,0.0437805775821512,10,0.0447917260253445,25,0.0464397965709427,55,0.0466180161267952,46,0.0467609795003156,34,0.0468884321920744,35,0.0479098843883596,5,0.0484271104459824,36,0.048598513009868,52,0.0487511944268309,51,0.0524595438174137,53,0.0525729474416672,22,0.0562981508907186,11,0.0572199866120904,32,0.0596222869405166,7,0.0611835911407382,31,0.0625339766706446,8,0.0664996609860439,54,0.0665472519670821,45,0.0665515688741577,12,0.0666904860871686,13,0.0683983369578876,26,0.0696072171137101,6,0.0720943284003512,60,0.0722502352173275,9,0.0728184295544415,28,0.0767376868175875,49,0.077691913618754,2,0.0825220182817012,47,0.0851903120580851,50,0.0910424811257855,3,0.0932078518837192,4,0.0933327239511075,23,0.0943889456283443,14,0.0945691807747218,58,0.0995494770958383,57,0.1002776086446085,24,0.1012511654893885,29,0.1022159320558883,16,0.1041120482116717,27,0.1048904598977833,48,0.1090378565029343,15,0.1151591685328099,21,0.141776003205495,18,0.1517825459698994,65,0.1534797998651661,20,0.1572036507615971,66,0.1658882017712563,59,0.1723397122589866,62,0.1724986149067585,63,0.1879791012431181,19,0.1952057818813984,61,0.2001010723102924,17,0.2104198523618413,64,0.212519114492608
