target,donor1,score1,donor2,score2,donor3,score3,donor4,score4,donor5,score5,donor6,score6,donor7,score7,donor8,score8,donor9,score9,donor10,score10,donor11,score11,donor12,score12,donor13,score13,donor14,score14,donor15,score15,donor16,score16,donor17,score17,donor18,score18,donor19,score19,donor20,score20,donor21,score21,donor22,score22,donor23,score23,donor24,score24,donor25,score25,donor26,score26,donor27,score27,donor28,score28,donor29,score29,donor30,score30,donor31,score31,donor32,score32,donor33,score33,donor34,score34,donor35,score35,donor36,score36,donor37,score37,donor38,score38,donor39,score39,donor40,score40,donor41,score41,donor42,score42,donor43,score43,donor44,score44,donor45,score45,donor46,score46,donor47,score47,donor48,score48,donor49,score49,donor50,score50,donor51,score51,donor52,score52,donor53,score53,donor54,score54,donor55,score55,donor56,score56,donor57,score57,donor58,score58,donor59,score59
38,37,0.0395987257175026,36,0.0439344420699751,33,0.0448482110470417,32,0.0458397329011633,31,0.0482202890689178,35,0.0485901492326376,30,0.0510220390659761,20,0.0522401452482666,29,0.0522910853630903,21,0.0524642885632694,19,0.0530930833830547,18,0.0538696908742755,22,0.0539750611393817,28,0.0547193079959898,17,0.0560470265987411,16,0.0570879970961497,27,0.0581481930684006,15,0.0584381900120974,34,0.0588014805756623,25,0.0629306638329042,26,0.0644730567438058,14,0.065884787617856,24,0.0663882147715993,23,0.0685811074430852,49,0.0709287786710726,50,0.0724386465216599,13,0.0728790961585694,48,0.0747878335723799,51,0.074819562374355,12,0.0754450902541047,47,0.0767086265017175,11,0.0787479127244018,46,0.0795579849468926,45,0.0818299494378433,10,0.0835872482646127,9,0.0852363357873272,7,0.0907233893908291,8,0.0925900703598933,6,0.0942548959040855,5,0.0978390820605446,4,0.0993829262247796,3,0.1019541239485681,2,0.1036217260595479,1,0.1070809860785751,52,0.1119372232975251,53,0.1167701675167506,60,0.1204654492619772,54,0.120596827057141,59,0.1218848195037019,55,0.1246972522213702,58,0.1264053404388042,56,0.1320720234867703,61,0.1320921964824569,57,0.1322374529326695,62,0.136042770361236,66,0.1373495206491818,65,0.1395921356130065,63,0.140058770028085,64,0.142650996710328
39,37,0.043923225698712,33,0.0473615896258772,36,0.0483201437440949,32,0.0490203608287413,31,0.0517982234616207,35,0.0530047516528471,21,0.0535360791035354,20,0.0537633062868161,30,0.0542025594414138,22,0.0546577041728794,19,0.0549540637249876,29,0.0557452651960684,18,0.0560011818764568,28,0.0583586732704745,17,0.0585003438062546,16,0.0599463528915646,15,0.0614862756863676,27,0.0618813809226167,34,0.0631162344074802,25,0.0666216745886802,26,0.068377618769302,14,0.0694239182486843,24,0.0701920885887433,23,0.0724989923163763,49,0.0730575333431125,50,0.0743014654887775,51,0.0763376280713515,13,0.0768890991739401,48,0.0775422383285393,12,0.0795289326457988,47,0.0797458833789556,11,0.0828705210661789,46,0.0828992785242428,45,0.0854593002747506,10,0.0877624887124333,9,0.0893629467396862,7,0.0949823839638172,8,0.0967921077882902,6,0.0984949865300768,5,0.1020549831501627,4,0.1036630887512522,3,0.1062736561001361,2,0.1080070861142452,1,0.1114780809282703,52,0.1163641663051388,53,0.1212260550069992,60,0.1247386998640758,54,0.1250688079742506,59,0.1262081234509094,55,0.1291860736203791,58,0.1307958098555913,56,0.1365661548253446,57,0.1366716581661684,61,0.1367139339952223,62,0.140654745584534,66,0.1420018634154144,65,0.1442335663063561,63,0.144660040805642,64,0.1472790311747738
40,37,0.0508164013079438,33,0.0530446279142383,36,0.0552218018499939,32,0.0552596891041742,21,0.0576796288466734,31,0.0583197082507277,22,0.058331607320217,20,0.0584096067365634,35,0.0599085016662075,19,0.0599504730887088,30,0.0604243054693224,18,0.0612667047742083,29,0.0621714172903433,17,0.0640671571477929,28,0.0649096890850664,16,0.0658791547718244,15,0.0675780861703703,27,0.0684894298965906,34,0.0700039986318638,25,0.073196405208521,26,0.0750848544174522,14,0.0758886582728275,24,0.0768368832332493,49,0.0782425049522956,50,0.0792007364640632,23,0.0792112080741103,51,0.0808480203523252,48,0.083331945131804,13,0.0836502835826036,47,0.0857881885563508,12,0.0863267305004075,46,0.0891943182090092,11,0.0896856546382418,45,0.091973133319247,10,0.0945996479139853,9,0.0961783470821265,7,0.1018502799456143,8,0.103638768960896,6,0.1053559182338135,5,0.1089064413700585,4,0.1105371194330663,3,0.1131589403828084,2,0.1149061686382414,1,0.1183787618198466,52,0.1232677627651284,53,0.1281305271466952,60,0.1316090922560064,54,0.1319728025417736,59,0.1330935200843752,55,0.1360887256535236,58,0.137695250400622,56,0.1434682249853604,61,0.143555138535686,57,0.1435755871538055,62,0.1475054197309373,66,0.1488024563809348,65,0.1510509496182,63,0.1515197397495785,64,0.1541133615488611
41,37,0.0491025075734427,33,0.0497800028213136,32,0.0523728751358945,36,0.0535934259163379,21,0.0538829789915145,22,0.0544608569015398,20,0.0547271602447084,31,0.0557191295387859,19,0.0563726141835732,30,0.0575097855654148,18,0.0577871670163886,35,0.0583183078029532,29,0.0594505613934805,17,0.0607187931277458,28,0.0623329553723389,16,0.0627372124960935,15,0.0645452252886299,27,0.0659856343978748,34,0.0682094592821259,25,0.0706376179792326,26,0.0727345153402427,14,0.0731876831562524,24,0.0743766044122074,49,0.0747100238747117,50,0.0755692700478177,23,0.076864776704873,51,0.0771094554628678,48,0.0800785569411687,13,0.0813994422005458,47,0.0826952250851885,12,0.0841620141453376,46,0.0863032517701389,11,0.087565738876572,45,0.0893126059324774,10,0.0925445779383103,9,0.0940535179340996,7,0.0999112760647666,8,0.1016105158624834,6,0.1033832369863703,5,0.10689289323898,4,0.1086228374995331,3,0.1113086142214069,2,0.1131749819193711,1,0.1166678735723334,52,0.1216144065456474,53,0.1265370759018083,60,0.129666058502447,54,0.1304140675419641,59,0.1312345980287973,55,0.1345680953491206,58,0.1359588387159878,57,0.141926366714892,56,0.1419573386498916,61,0.1424409507441241,62,0.1463511737769465,66,0.1478291499498323,65,0.1500222939181041,63,0.1503240605488356,64,0.153023246028177
42,33,0.0476274144013717,37,0.049512077495193,21,0.0503784215700531,22,0.0506717648849928,32,0.0509301071655067,20,0.0515686790127495,19,0.0534835523835131,36,0.0540858081529711,31,0.054748279337802,18,0.0551285056562392,30,0.0559883136507074,29,0.0582577694723201,17,0.0583394988408367,35,0.0588320996386326,16,0.0607683577814144,28,0.0613663436512229,15,0.0627762092711084,27,0.0651207575167856,34,0.0683934232543597,25,0.0696655424829951,49,0.0718816909178547,14,0.0719722476267762,26,0.0720848929033677,50,0.0724969763262579,24,0.0735491510827963,51,0.0737425760120298,23,0.0762070957100452,48,0.0778396502654655,47,0.080760549117623,13,0.080873931297112,12,0.0837578406770972,46,0.0847260646245887,11,0.0872188467241455,45,0.088120399434864,10,0.0922805594881716,9,0.0936839357704937,7,0.0997985842835458,8,0.1013663556399755,6,0.1032157363433018,5,0.1066603447767256,4,0.1085292758501593,3,0.1113008065584432,2,0.1133297175815769,1,0.1168451601479495,52,0.1218632000774638,53,0.1268604414657697,60,0.1295018559112185,54,0.1307793031589096,59,0.1311873837777475,55,0.1349794341742474,58,0.1360765206010573,57,0.1421569705591674,56,0.142373801313479,61,0.1433699065355069,62,0.1472258368969251,66,0.1489284657981811,65,0.1510510785282912,63,0.1511425278727995,64,0.1539726696004521
43,33,0.0432246834858278,21,0.0459719835939238,37,0.0462739132401832,22,0.0463672907866094,32,0.0467272916244886,20,0.0470985325555903,19,0.0489986822011572,18,0.0506504443986427,31,0.0507259558805943,36,0.0508806432731544,30,0.0517495329039789,17,0.0538896458185614,29,0.0541357367231665,35,0.0556218276898557,16,0.0563954475270832,28,0.0573322770338837,15,0.0584533354480306,27,0.0611246733688614,34,0.0649438690331889,25,0.0656160634279442,49,0.0673967518202472,14,0.0678225861478313,50,0.0680217768438902,26,0.0681764847273604,51,0.0693096238323365,24,0.0695570412787231,23,0.0722889497741529,48,0.0734045710005855,47,0.0763844243867164,13,0.0770129407956871,12,0.0799534819727071,46,0.0804433385255733,11,0.0834394390894378,45,0.0839652663837256,10,0.0885383379321071,9,0.0898859202977863,7,0.0961293075209117,8,0.0976255156368456,6,0.0995137201584787,5,0.1029210352239035,4,0.1048624946627248,3,0.1076788793099649,2,0.1097984823979366,1,0.1133241859686183,52,0.1183804195629074,53,0.1234186472044642,60,0.1257829695348301,54,0.1273602002996226,59,0.127530185437723,55,0.1315858104791318,58,0.1325083527312901,57,0.1386506447819483,56,0.1389788764525027,61,0.1403100432700739,62,0.144126021437664,66,0.1459858921075938,63,0.1480021062718028,65,0.1480566341806067,64,0.1509206315901176
44,33,0.0433506343411488,21,0.0448054675892351,22,0.0448906229382039,20,0.0462804988929462,32,0.0473992238005012,37,0.0481920740256113,19,0.0484314775717198,18,0.050287586926497,31,0.0517176759618024,30,0.0523269137336609,36,0.0528129185311699,17,0.0537578120628062,29,0.0549454158314413,16,0.056594609919055,35,0.0575373639115487,28,0.0582871850562368,15,0.0588024867662074,27,0.0621320864914417,25,0.0665282401081676,34,0.0666183267869284,49,0.0668241386270709,50,0.067224554917753,51,0.0682290122886884,14,0.0685514912958864,26,0.0693016949640483,24,0.0705550635162353,48,0.0733231523319203,23,0.0733935550970246,47,0.0765405252137715,13,0.0781909170165563,46,0.0808649505888057,12,0.0812029390040163,45,0.0846617629262466,11,0.0847167119634018,10,0.0898565448361441,9,0.0911324687303597,7,0.0975276230089711,8,0.0989369392856378,6,0.1008706011377448,5,0.1042300749970467,4,0.106256711975197,3,0.109122346133961,2,0.1113393393809213,1,0.1148735676723761,52,0.1199663646268403,53,0.1250432587422848,60,0.1271025487938381,59,0.1289217380385868,54,0.129005293314693,55,0.1332537739719967,58,0.1339970665159875,57,0.140202320094141,56,0.1406423400220929,61,0.1422689400247995,62,0.1460509467130562,66,0.148034402115792,63,0.1498918533476719,65,0.1500645227286583,64,0.152881984903029
