target,donor,weighted_ks,mean_ks,marginal_energy,sinkhorn_wasserstein
38,1,0.1592727398141381,0.1178463076893222,0.3710751276345457,0.4897362656766115
38,2,0.1232411087484857,0.1672720279017774,0.9463374221560892,0.4275442915714961
38,3,0.0555478946581362,0.1030364986700089,0.6289581238171701,0.3853641114929605
38,4,0.0553810021866409,0.1839855472762469,1.6314043736209194,0.3436520834103947
38,5,0.1388156973619412,0.1722046804771984,1.0183661916985376,0.4120698667206778
38,6,0.0811271805838088,0.1873152227031054,1.7647050981016923,0.3283977457011164
38,7,0.1054053413359286,0.2199096611444418,1.7253334070084825,0.3665552527050226
38,8,0.1322569427960966,0.197673656459826,1.7546732225336974,0.4204470530823281
38,9,0.0952652854694349,0.1712917273245378,1.0992374653826906,
38,10,0.141665963241758,0.1623297687798793,0.6620891900301363,0.4169344652365582
38,11,0.1199652507158903,0.1571919982312286,0.5403461970548713,0.3691332164158618
38,12,0.1048664437752311,0.1620829960344094,1.113149027089087,0.4099415819144569
38,13,0.0912981424146288,0.1762342124889348,1.14768360274261,
38,14,0.0989832190335649,0.1745171368257279,1.2924948738685336,0.500309956262741
38,15,0.0436163522092514,0.1466592632737405,1.1510287301010884,
38,16,0.0717923916974099,0.1547073137126414,1.2354870897996106,0.3318714947429571
38,17,0.1278384169269597,0.1416637346912509,0.8567260800868176,0.3660478544083457
38,18,0.057054983473875,0.1579560561566777,1.4881318873520912,0.2095452949687211
38,19,0.1026807666497578,0.1363821313776572,0.7573285708761497,0.2707930477561968
38,20,0.0594104389081975,0.1474719622310376,1.1110086965800412,0.3601089620175925
38,21,0.0557905815077622,0.1178078702867844,0.6420177813532242,0.2019049353675785
38,22,0.0878656476093641,0.165918711537454,1.2755339991342434,0.2494671524250758
38,23,0.0643586213997886,0.1529266762331688,1.4353444707129774,0.2282707816413818
38,24,0.0647884758952197,0.1421792226761524,1.0090228719403318,
38,25,0.1383253825555025,0.1687980554582195,1.279444995159612,
38,26,0.0767222748267507,0.0805307976478674,0.2307473806079663,0.2529009863450478
38,27,0.0349132724845047,0.1586442951083607,1.2273869509891089,0.3485305721717655
38,28,0.0992615591513003,0.149004465985278,1.240857383655204,0.4216289295198822
38,29,0.0522088500832354,0.1425887916565456,1.0646527700246486,
38,30,0.1194752211531808,0.1795426549652663,1.2409226498586463,
38,31,0.1085684374621828,0.1707253762332161,1.2989461079300375,0.3076670558058024
38,32,0.1041555106682955,0.1446822667449543,0.9885664831169656,0.3235007685514261
38,33,0.1189012860046489,0.204234116396189,1.5529162577964204,0.337054575978246
38,34,0.1119706880770295,0.1178071441858623,0.9852806042723146,0.275630559591019
38,35,0.1332080668639345,0.124527176238544,0.8248555605651336,0.4226386298625653
38,36,0.111412412149613,0.1280869477847652,1.0291862364028643,0.360104750715799
38,37,0.158047041899255,0.1431674839766211,0.8770664540678718,0.4614729308544327
38,45,0.0866727924355895,0.1344097084017953,1.5940168909925243,0.2535528614719667
38,46,0.1091448219298086,0.1440992083918128,1.6814022424697466,0.3052577583942671
38,47,0.0666626730906421,0.0711116241185533,0.4413258043867603,0.1965431958533939
38,48,0.0690962960801305,0.1144484899785078,1.3663140321869731,0.2273385545735512
38,49,0.0744109615865814,0.0866110930230267,0.9152303081687048,0.219808380368016
38,50,0.058981053100693,0.1273419473726725,1.453743756214165,0.2182845249161392
38,51,0.1040461085704448,0.0830383447174966,0.5713504641193832,0.3045833425294997
38,52,0.0929901104653518,0.0898863643707304,0.5325341497868473,0.2527593689719953
38,53,0.0990089535994981,0.1435591045085512,1.7953112368198478,0.2757722677256701
38,54,0.1937362536079387,0.15332655895286,1.019075060978811,0.4637538364295996
38,55,0.1729379640634623,0.1181832901644266,0.7873369459139282,0.4565742205780997
38,56,0.1681241087149931,0.1654610690468371,1.492939457808269,0.4759663188874808
38,57,0.2262671165867537,0.1008038871367699,0.6095601288825212,0.5008165201654815
38,58,0.2265428192410255,0.1704079074551647,1.6126313731798163,0.5447462611808824
38,59,0.2983677664330979,0.1900010928173328,1.3701835308669768,
38,60,0.2011017142314856,0.1935538572532729,1.8870829362950008,0.505911770819304
38,61,0.3176124703622041,0.2138662575038112,1.5048573362695383,
38,62,0.2930358626866084,0.2897384014835835,2.0938888678938734,0.7446888265178211
38,63,0.3108684759329211,0.2349443635491248,2.0870926118201023,0.7561541261705302
38,64,0.3312363589555181,0.1392946552384276,0.6936362169914922,0.6800448865776115
38,65,0.2753804839173828,0.1799306472425822,1.341143264164844,0.6911623392440198
38,66,0.2854326134126173,0.1757725344682721,1.1878897042429102,0.8089784115706179
39,1,0.1365134147015231,0.2009274955912664,1.7911032667458833,0.4708895314196596
