"turb_id","time_stamp","wind_speed","wind_direction","temperature","turbulence_intensity","std_wind_direction","power"
35,"2018-01-01 00:00:00",5.013125,166.127928,-8.678375,0.057583805482512,0,15.2980554670067
35,"2018-01-01 00:10:00",4.259375,166.127928,-8.848875,0.0664996025588985,0,8.60455849537773
35,"2018-01-01 00:20:00",3.5559756097561,166.127928,-8.96792682926829,0.0419954566041105,0,4.48774267787305
35,"2018-01-01 00:30:00",3.73851851851852,166.127928,-8.93962962962963,0.0451530312691014,0,5.3479576697088
35,"2018-01-01 00:40:00",3.43775,166.127928,-8.9175,0.0432670623966516,0,4.06200191265539
35,"2018-01-01 00:50:00",3.27,164.872212,-8.91036585365854,0.0534172171521871,3.23398275265105,3.41012463360208
35,"2018-01-01 01:00:00",3.2320987654321,156.291116888889,-8.98308641975309,0.0469113744214585,0.192064080741593,2.74029209317701
35,"2018-01-01 01:10:00",3.02086419753086,156.291116888889,-9.09395061728395,0.0568569345467407,0.19206408074159,1.4171753306808
35,"2018-01-01 01:20:00",2.84890410958904,156.254215890411,-9.18794520547945,0.0662483780296652,0.281859043757598,0.584713603870724
35,"2018-01-01 01:30:00",2.62033333333333,156.117081,-9.18066666666667,0.0694532208217595,0.65272241552144,0.367654871958345
35,"2018-01-01 01:40:00",3.1640243902439,156.23169,-8.96329268292683,0.0654268078617319,0.422584639779749,1.88544282637598
35,"2018-01-01 01:50:00",3.43123456790123,140.516169259259,-8.85185185185185,0.112940523188734,4.31858286869977,4.23735817424053
35,"2018-01-01 02:00:00",4.42333333333333,140.940524,-8.64679012345679,0.086113811841576,2.34185023005314,8.82536983907718
35,"2018-01-01 02:10:00",4.41443037974684,146.788589620253,-8.47329113924051,0.0599382624158904,3.60314529103612,11.2188941300847
35,"2018-01-01 02:20:00",4.95086419753086,153.24189,-8.40111111111111,0.0490039329465054,3.99641870929463,14.1272821009299
35,"2018-01-01 02:30:00",5.00382716049383,160.694981555556,-8.37777777777778,0.0415741484189957,0.931441236889247,14.5263423023491
35,"2018-01-01 02:40:00",4.7520987654321,160.710115111111,-8.39111111111111,0.0451068116254804,0.821990639308692,11.9682640881238
35,"2018-01-01 02:50:00",4.59543209876543,160.694981555556,-8.43024691358025,0.0382055150581211,0.889908859253451,11.6266622589011
35,"2018-01-01 03:00:00",4.60243902439024,160.537002,-8.395,0.0502503792752899,0.987364618005376,13.0892494771297
35,"2018-01-01 03:10:00",4.69987654320988,160.800916444444,-8.37987654320988,0.0545537011110464,0.781812175511342,11.7817211537326
35,"2018-01-01 03:20:00",4.09111111111111,160.256354518518,-8.52666666666667,0.0575598018917486,1.84096744728834,6.21927846452337
35,"2018-01-01 03:30:00",3.6458024691358,152.001922740741,-8.48617283950617,0.0659987176986424,0.868920111686811,4.54196625698059
35,"2018-01-01 03:40:00",2.99765432098765,152.137263481481,-8.51839506172839,0.081785479412955,1.00432372369436,1.57459552847928
